memra-reference (f32, unfused) vs memra-engine forward_hyper, BEFORE the ggml->HF name-map fix.
Artifact ~/models/glm53-nvfp4, tokens [1,2,3,4], last prompt position, MEMRA_HYPER_TRACE on both sides.
FULL DEPTH: all 45 trunk layers (0..44) plus expand and collapse. The reference side of this run
reproduced the banked mint-receipts/nvfp4-oracle.tsv BIT-FOR-BIT (cosine 1.000000, max_abs 0.0),
so the trace taps changed nothing on either side.
cos = cosine(reference, engine); ratio = |engine| / |reference|.
Stage order per layer: mixer (KDA or MLA+DSA output), attn (streams after the attention hc_post),
router (288 router logits), route (selected (expert, weight) pairs, IN SELECTION ORDER -- two
different top-k implementations can emit the same set in a different order, which lowers this
row's cosine without changing anything the model computes), routed (routed-expert sum),
ffn (routed + shared expert), layer (streams after the mlp hc_post).

WORST COSINE PER STAGE, and the first layer where the stage drops below 0.999:

  stage      BEFORE                          AFTER
  mixer      0.039215 @L28  first <0.999 L4  |  0.959737 @L23  first <0.999 L16
  attn       0.161666 @L30  first <0.999 L4  |  0.972812 @L24  first <0.999 L17
  router     0.892737 @L44  first <0.999 L5  |  0.997990 @L22  first <0.999 L21
  route      0.528207 @L42  first <0.999 L3  |  0.745064 @L19  first <0.999 L7
  routed    -0.023606 @L29  first <0.999 L3  |  0.912635 @L17  first <0.999 L15
  ffn       -0.034478 @L29  first <0.999 L3  |  0.926391 @L17  first <0.999 L15
  layer      0.134009 @L44  first <0.999 L3  |  0.971423 @L23  first <0.999 L16

BEFORE: the break is a STEP at layer 3 -- the first MoE layer -- in route/routed/ffn/layer, and
nowhere earlier; routed and ffn go NEGATIVE by layer 29 (the engine's FFN branch ends up pointing
away from the reference's). AFTER: nothing breaks anywhere; every residual-stream stage stays
above 0.95 and degrades MONOTONICALLY with depth from layer ~15, which is the f32-vs-4-bit
instrument drift this comparison is expected to show. End-to-end: argmax 5 vs 5, top-8 set
identical, logits cosine 0.9930 (logits-before-after.txt).

stage       L      n       cos      |ref|      |eng|    ratio     maxabs
ffn         5   4096  0.175639      4.616      4.351   0.9426     0.3361
layer       5  16384  0.944368      6.532      4.583   0.7017     0.1414
mixer       6   4096  0.886039     0.3875      0.282   0.7277    0.01327
attn        6  16384  0.944074      6.186       4.44   0.7177     0.1318
router      6    288  0.998102      88.25      86.72   0.9826     0.9051
route       6     16  0.868861      472.3      499.8   1.0582        148
routed      6   4096  0.869829      11.86      7.796   0.6574     0.4034
ffn         6   4096  0.857865      11.97      7.796   0.6516     0.3726
layer       6  16384  0.912813      7.413      4.785   0.6455     0.1965
mixer       7   4096  0.680803      23.26      32.76   1.4085      1.399
attn        7  16384  0.906969      7.017      4.551   0.6486     0.1864
router      7    288  0.992190       77.8      63.11   0.8113      2.587
route       7     16  0.951294      637.1        524   0.8226        136
routed      7   4096  0.612465       8.54       5.36   0.6276     0.3844
ffn         7   4096  0.603311      8.626       5.36   0.6213     0.3824
layer       7  16384  0.899335       6.83      4.377   0.6409     0.1781
mixer       8   4096  0.611098      0.138     0.1076   0.7795   0.006277
attn        8  16384  0.899806       6.47      4.167   0.6440      0.169
router      8    288  0.994870      66.01      58.07   0.8798      1.643
route       8     16  0.900702      492.5      531.8   1.0797        126
routed      8   4096  0.715840      7.878       4.35   0.5522     0.3627
ffn         8   4096  0.688167       8.14       4.35   0.5344     0.4065
layer       8  16384  0.889449       6.51      4.171   0.6408     0.1639
mixer       9   4096  0.410040     0.2028     0.1478   0.7287    0.01176
attn        9  16384  0.884131      6.239      4.105   0.6579     0.1565
router      9    288  0.989435      63.15      49.04   0.7766       2.32
route       9     16  0.849980      495.2      545.3   1.1011        219
routed      9   4096  0.221518       4.06      3.008   0.7410     0.2658
ffn         9   4096  0.205774      4.892      3.008   0.6149     0.2823
layer       9  16384  0.867276      6.349      4.083   0.6431     0.1673
mixer      10   4096  0.592958     0.4582     0.3255   0.7102    0.02264
attn       10  16384  0.874322      6.272      4.073   0.6495     0.1714
router     10    288  0.989658       65.5      60.05   0.9169      1.924
route      10     16  0.762137      459.5      419.2   0.9121        220
routed     10   4096  0.394617      5.073      3.471   0.6843     0.3191
ffn        10   4096  0.361341      5.456      3.471   0.6361     0.3758
layer      10  16384  0.823418      6.695      4.408   0.6584     0.1865
mixer      11   4096  0.672996       18.2      19.48   1.0703     0.8489
attn       11  16384  0.816311       6.62      4.377   0.6612     0.1882
router     11    288  0.986452      59.38      62.43   1.0513      2.518
route      11     16  0.663808      468.1        470   1.0041        243
routed     11   4096  0.354482      5.343      3.041   0.5692     0.3018
ffn        11   4096  0.336233      5.573      3.041   0.5457     0.3019
layer      11  16384  0.795055      6.844      4.231   0.6181     0.2186
mixer      12   4096  0.475146     0.1927     0.1549   0.8040    0.01044
attn       12  16384  0.800082      6.713      4.076   0.6071     0.2171
router     12    288  0.986356      48.81      53.86   1.1036      3.122
route      12     16  0.640876      422.7      460.1   1.0886        225
routed     12   4096  0.161010      4.626       2.16   0.4669     0.2801
ffn        12   4096  0.149545      4.931       2.16   0.4380     0.2854
layer      12  16384  0.778629       6.89      4.077   0.5918     0.2212
mixer      13   4096  0.405193     0.3199     0.1927   0.6024    0.01833
attn       13  16384  0.787641      6.815      4.041   0.5930     0.2224
router     13    288  0.986158      50.25       55.6   1.1065      2.369
route      13     16  0.689501      374.2      435.3   1.1633        228
routed     13   4096  0.248475      7.057       3.72   0.5271     0.4576
ffn        13   4096  0.238059      7.644       3.72   0.4866     0.4788
layer      13  16384  0.753647      7.199      4.081   0.5669      0.228
mixer      14   4096  0.467087     0.4497      0.248   0.5514    0.02051
attn       14  16384  0.771260      7.025      3.988   0.5677     0.2315
router     14    288  0.981986      53.46      47.41   0.8868      2.198
route      14     16  0.826867      620.5      532.2   0.8577        230
routed     14   4096  0.201592      7.155      4.633   0.6476     0.4216
ffn        14   4096  0.180644      7.927      4.633   0.5845     0.4877
layer      14  16384  0.748306      7.261      4.034   0.5555      0.226
mixer      15   4096  0.697508      31.11       28.5   0.9163      1.533
attn       15  16384  0.744728      7.249      4.061   0.5602     0.2265
router     15    288  0.969993         50      44.21   0.8842      2.299
route      15     16  0.594372      408.7      369.3   0.9036        185
routed     15   4096  0.228865      5.869      4.474   0.7623     0.4071
ffn        15   4096  0.213988      6.383      4.474   0.7008     0.3925
layer      15  16384  0.733194      7.419      4.128   0.5564     0.2272
mixer      16   4096  0.310217     0.3417     0.3753   1.0981    0.02454
attn       16  16384  0.729584      7.424      4.188   0.5642     0.2259
router     16    288  0.976273      47.86      53.16   1.1107      2.817
route      16     16  0.831137        546      489.3   0.8961        178
routed     16   4096  0.253113      6.647       4.09   0.6153     0.4249
ffn        16   4096  0.240290       6.92       4.09   0.5911     0.3983
layer      16  16384  0.705700       7.68      4.257   0.5543     0.2251
mixer      17   4096  0.319453     0.4161     0.3722   0.8944    0.02423
attn       17  16384  0.710501      7.609      4.282   0.5628     0.2252
router     17    288  0.973465      46.11      45.88   0.9951      2.771
route      17     16  0.774913      515.9      540.4   1.0473        196
routed     17   4096  0.049196      4.868      3.019   0.6201     0.2895
ffn        17   4096  0.046487      5.331      3.019   0.5663     0.3275
layer      17  16384  0.655771      8.166      4.422   0.5415     0.2252
mixer      18   4096  0.178808     0.7348     0.4569   0.6217    0.04656
attn       18  16384  0.671220      8.045      4.336   0.5389     0.2259
router     18    288  0.974343      47.83      48.22   1.0081      2.978
route      18     16  0.738589      446.6      358.3   0.8024        229
routed     18   4096  0.066613      6.849      4.093   0.5977     0.4735
ffn        18   4096  0.060753      7.313      4.093   0.5597     0.4825
layer      18  16384  0.622286      8.754      4.445   0.5078     0.2924
mixer      19   4096  0.264325      44.45      23.19   0.5218      2.786
attn       19  16384  0.605935      8.834      4.515   0.5111     0.2907
router     19    288  0.966320      52.34      43.27   0.8267      2.959
route      19     16  0.642948      244.4      558.1   2.2834        253
routed     19   4096  0.005810      5.418       2.96   0.5463     0.3402
ffn        19   4096  0.006768      5.827       2.96   0.5079     0.3813
layer      19  16384  0.547840      9.524      4.648   0.4880     0.3665
mixer      20   4096  0.144543     0.8416     0.5193   0.6170    0.05057
attn       20  16384  0.593880      9.007      4.539   0.5039     0.2731
router     20    288  0.956987      40.27      38.92   0.9664      3.221
route      20     16  0.742927      500.1      554.2   1.1081        234
routed     20   4096  0.050969      4.961      3.301   0.6654     0.3179
ffn        20   4096  0.059626      5.246      3.301   0.6293     0.3227
layer      20  16384  0.498098       10.3      4.974   0.4827     0.4206
mixer      21   4096  0.251673      1.024     0.7077   0.6910    0.06561
attn       21  16384  0.536358      9.815      4.841   0.4932     0.3704
router     21    288  0.954080      41.23      39.45   0.9567      4.713
route      21     16  0.763302      437.1        288   0.6589        161
routed     21   4096  0.056032      5.022      3.774   0.7515     0.3435
ffn        21   4096  0.056137      5.358      3.774   0.7044     0.3517
layer      21  16384  0.414282      11.91      5.687   0.4775     0.4905
mixer      22   4096  0.184346      1.411      1.128   0.7993    0.09839
attn       22  16384  0.428238      11.25      5.844   0.5196     0.4541
router     22    288  0.954070      37.36      53.16   1.4230      3.241
route      22     16  0.940888        329      447.2   1.3592        123
routed     22   4096  0.055765      3.857      3.339   0.8659     0.2736
ffn        22   4096  0.050988      4.114      3.339   0.8117     0.2943
layer      22  16384  0.339623      12.75      7.239   0.5679     0.6063
mixer      23   4096  0.382901      28.21      26.89   0.9531      1.864
attn       23  16384  0.347185      13.13      8.578   0.6532     0.6788
router     23    288  0.960348      40.31      44.18   1.0961      2.952
route      23     16  0.842854      496.7      419.8   0.8451        135
routed     23   4096  0.084637      4.535      3.204   0.7065     0.3266
ffn        23   4096  0.077016      4.959      3.204   0.6460     0.3478
layer      23  16384  0.278064      15.96      9.737   0.6101      0.917
mixer      24   4096  0.183338      1.331      1.258   0.9456     0.1029
attn       24  16384  0.293817      15.42      9.867   0.6400     0.8729
router     24    288  0.967708      45.85      43.18   0.9418      2.232
route      24     16  0.755070      418.6      386.6   0.9237        183
routed     24   4096  0.023440      5.398      3.694   0.6843     0.3498
ffn        24   4096  0.028753      6.088      3.694   0.6067     0.4032
layer      24  16384  0.241769      17.17      10.74   0.6255     0.8314
mixer      25   4096  0.304755      3.061      2.209   0.7217     0.1974
attn       25  16384  0.256474      16.73      10.79   0.6446        0.8
router     25    288  0.976148      61.12      76.78   1.2562        4.9
route      25     16  0.802136        359        490   1.3649        199
routed     25   4096  0.026133       6.14        3.8   0.6189     0.4134
ffn        25   4096  0.024425      6.488        3.8   0.5858     0.4475
layer      25  16384  0.230432      17.26      11.61   0.6724     0.7915
mixer      26   4096  0.147840      1.773      2.164   1.2210     0.1473
attn       26  16384  0.238166      17.42      11.91   0.6839     0.8279
router     26    288  0.968610      62.72      60.28   0.9611      2.668
route      26     16  0.607636      369.4      321.3   0.8700        156
routed     26   4096  0.013537      6.676      4.174   0.6253     0.4203
ffn        26   4096  0.011296      6.906      4.174   0.6045     0.4668
layer      26  16384  0.214793      17.83      12.79   0.7176     0.8307
mixer      27   4096  0.407196      10.45      13.72   1.3126      1.026
attn       27  16384  0.225024      17.64      13.75   0.7793      0.801
router     27    288  0.977898      71.67      56.24   0.7846      3.032
route      27     16  0.715381      459.1      295.7   0.6441        249
routed     27   4096  0.075054      8.259          4   0.4844       0.55
ffn        27   4096  0.071154      8.534          4   0.4687     0.5655
layer      27  16384  0.211406       18.6      14.25   0.7659     0.8167
mixer      28   4096  0.039215     0.9551      1.356   1.4201    0.09683
attn       28  16384  0.208355      18.47      14.52   0.7862     0.7711
router     28    288  0.969129      68.58       48.8   0.7117      3.662
route      28     16  0.612135      554.9      391.5   0.7056        243
routed     28   4096  0.022844      8.774      4.936   0.5625     0.5939
ffn        28   4096  0.021873      9.043      4.936   0.5458     0.5922
layer      28  16384  0.186477      19.24      15.95   0.8290     0.9479
mixer      29   4096  0.150782      1.236      2.079   1.6827     0.1328
attn       29  16384  0.194303      19.05      15.76   0.8272     0.8714
router     29    288  0.960595      66.77      51.69   0.7742      3.184
route      29     16  0.906919      269.7      654.3   2.4260        186
routed     29   4096 -0.023606      9.972      5.634   0.5650     0.7672
ffn        29   4096 -0.034478      10.38      5.634   0.5429     0.7933
layer      29  16384  0.135170      22.45      18.01   0.8024      1.128
mixer      30   4096  0.282863      4.751      2.815   0.5924       0.28
attn       30  16384  0.161666       25.2      18.99   0.7533      1.108
router     30    288  0.952875      71.75      40.05   0.5582      4.477
route      30     16  0.872462      540.8      310.1   0.5734        219
routed     30   4096  0.013740      10.33      6.069   0.5875      0.687
ffn        30   4096  0.009792      10.64      6.069   0.5703     0.7179
layer      30  16384  0.136018      26.57      20.21   0.7607      1.252
mixer      31   4096  0.427114      29.32       26.4   0.9004      1.745
attn       31  16384  0.236945      30.33      31.79   1.0479      1.596
router     31    288  0.976915      72.01      53.39   0.7415      3.887
route      31     16  0.876342      414.8      474.1   1.1430        179
routed     31   4096  0.127923      12.38      6.743   0.5447     0.7639
ffn        31   4096  0.118499      12.74      6.743   0.5293     0.7743
layer      31  16384  0.214881      34.94      32.47   0.9292      1.595
mixer      32   4096  0.127289      1.678      1.589   0.9472     0.1579
attn       32  16384  0.205168      34.61      31.83   0.9195      1.631
router     32    288  0.918270      70.77      29.08   0.4109      5.108
route      32     16  0.823838        376      445.5   1.1846        188
routed     32   4096  0.040017      11.64      6.849   0.5887      0.691
ffn        32   4096  0.033856      12.18      6.849   0.5621     0.7583
layer      32  16384  0.201721      35.64      33.06   0.9276      1.701
mixer      33   4096  0.137991      2.587      3.003   1.1609     0.1995
attn       33  16384  0.201561       35.4      32.17   0.9088      1.695
router     33    288  0.932785      65.41      33.53   0.5126      4.658
route      33     16  0.573389      280.8      578.8   2.0617        232
routed     33   4096  0.018210      8.834      6.571   0.7438     0.6361
ffn        33   4096  0.019952        9.4      6.571   0.6990     0.6262
layer      33  16384  0.195046      35.74      32.83   0.9185      1.726
mixer      34   4096  0.397191      19.26      12.86   0.6676      2.025
attn       34  16384  0.309871      52.19      38.73   0.7422      5.317
router     34    288  0.941012      68.45      36.42   0.5321      4.962
route      34     16  0.702424        524      570.3   1.0883        224
routed     34   4096 -0.006729       7.58      7.239   0.9549     0.6539
ffn        34   4096 -0.013516      9.314      7.239   0.7771     0.7813
layer      34  16384  0.296130      52.38       39.8   0.7598      5.245
mixer      35   4096  0.297048      33.34      28.68   0.8603      2.032
attn       35  16384  0.313492      58.41      48.12   0.8238      4.881
router     35    288  0.956166      74.22      43.25   0.5827      6.681
route      35     16  0.874780      292.7      426.1   1.4557        123
routed     35   4096  0.032474      11.03      7.112   0.6448     0.6964
ffn        35   4096  0.027633      12.74      7.112   0.5582     0.8542
layer      35  16384  0.296842      58.06       48.3   0.8320      4.772
mixer      36   4096  0.694250      16.92      13.46   0.7953     0.8701
attn       36  16384  0.436619      73.04       60.8   0.8325      5.913
router     36    288  0.953075      75.59      44.36   0.5869      6.367
route      36     16  0.543932      496.9      430.6   0.8665        228
routed     36   4096  0.103470      11.54      8.205   0.7107      0.732
ffn        36   4096  0.098837      12.07      8.205   0.6798     0.7623
layer      36  16384  0.413368      73.01      61.81   0.8466      5.842
mixer      37   4096  0.139663       2.78      3.286   1.1823     0.2429
attn       37  16384  0.405551      71.94      61.93   0.8608      5.718
router     37    288  0.945971      59.85       38.1   0.6366      3.769
route      37     16  0.594654      497.3      462.9   0.9307        256
routed     37   4096  0.075812      12.48      9.663   0.7744     0.8541
ffn        37   4096  0.067125      13.32      9.663   0.7254     0.9567
layer      37  16384  0.383851      73.42      63.43   0.8638      5.737
mixer      38   4096  0.449791      2.194      3.167   1.4430     0.1664
attn       38  16384  0.384114      73.15      63.32   0.8656      5.628
router     38    288  0.951850      55.56      36.79   0.6621      3.662
route      38     16  0.812689      547.7      472.1   0.8619        208
routed     38   4096  0.100571      13.02      8.822   0.6775     0.8461
ffn        38   4096  0.086610      13.63      8.822   0.6471     0.8603
layer      38  16384  0.374297      74.19      64.28   0.8665      5.702
mixer      39   4096  0.494420      15.57      17.42   1.1188      1.012
attn       39  16384  0.380630      73.83      65.48   0.8870       5.35
router     39    288  0.956864      47.75      31.28   0.6551      2.874
route      39     16  0.711396      471.3      317.7   0.6741        231
routed     39   4096  0.113314      12.83      8.405   0.6552     0.7557
ffn        39   4096  0.106305      13.79      8.405   0.6096     0.8981
layer      39  16384  0.372049      74.81      66.24   0.8855      5.348
mixer      40   4096  0.201673       3.21      4.228   1.3170     0.2699
attn       40  16384  0.370260      74.51       64.7   0.8684      5.393
router     40    288  0.944219       51.6      34.96   0.6774      3.186
route      40     16  0.844072      467.7      423.4   0.9051        197
routed     40   4096  0.007471      12.83       9.21   0.7178     0.9659
ffn        40   4096  0.025056      14.88       9.21   0.6189      1.083
layer      40  16384  0.350271      75.61      66.05   0.8736      5.321
mixer      41   4096  0.189382      3.427      4.142   1.2085     0.2945
attn       41  16384  0.354520      74.36      62.39   0.8390      5.211
router     41    288  0.938712      39.47      35.05   0.8881      2.445
route      41     16  0.718191      498.6      420.1   0.8426        238
routed     41   4096  0.137472      21.23      13.83   0.6515      1.341
ffn        41   4096  0.125872      22.99      13.83   0.6015      1.623
layer      41  16384  0.324940      77.94      65.94   0.8460      5.219
mixer      42   4096  0.278779      6.147      9.361   1.5229     0.5653
attn       42  16384  0.364270      76.84      57.92   0.7537      5.873
router     42    288  0.936021      38.05       35.4   0.9305      2.798
route      42     16  0.528207      462.3      427.2   0.9240        201
routed     42   4096  0.070337      22.63      14.41   0.6368      1.541
ffn        42   4096  0.084722      27.79      14.41   0.5185      1.719
layer      42  16384  0.252807      80.51      55.66   0.6913      6.464
mixer      43   4096  0.531955      36.25      31.44   0.8671      2.261
attn       43  16384  0.272486      79.65      63.43   0.7964      5.312
router     43    288  0.930394      37.28      42.61   1.1431      5.517
route      43     16  0.846579      514.8      530.7   1.0309        187
routed     43   4096  0.085976      19.05      12.64   0.6635      1.402
ffn        43   4096  0.129784       29.8      12.64   0.4241      2.967
layer      43  16384  0.207765      86.29      70.91   0.8218      5.852
mixer      44   4096  0.227647      11.57      5.045   0.4362      2.887
attn       44  16384  0.231202      90.44      68.42   0.7565         11
router     44    288  0.892737      41.49       24.8   0.5977      3.982
route      44     16  0.886802      365.7      507.1   1.3867        194
routed     44   4096  0.344695      36.29      10.67   0.2940      4.337
ffn        44   4096  0.266537       78.5      10.67   0.1359      36.11
layer      44  16384  0.134009      153.4      76.04   0.4956      62.92
collapse   -1   4096  0.171603      57.83      36.18   0.6256      26.47
