memra-reference (f32, unfused) vs memra-engine forward_hyper, AFTER the ggml->HF name-map fix.
Artifact ~/models/glm53-nvfp4, tokens [1,2,3,4], last prompt position, MEMRA_HYPER_TRACE on both sides.
FULL DEPTH: all 45 trunk layers (0..44) plus expand and collapse. The reference side of this run
reproduced the banked mint-receipts/nvfp4-oracle.tsv BIT-FOR-BIT (cosine 1.000000, max_abs 0.0),
so the trace taps changed nothing on either side.
cos = cosine(reference, engine); ratio = |engine| / |reference|.
Stage order per layer: mixer (KDA or MLA+DSA output), attn (streams after the attention hc_post),
router (288 router logits), route (selected (expert, weight) pairs, IN SELECTION ORDER -- two
different top-k implementations can emit the same set in a different order, which lowers this
row's cosine without changing anything the model computes), routed (routed-expert sum),
ffn (routed + shared expert), layer (streams after the mlp hc_post).

WORST COSINE PER STAGE, and the first layer where the stage drops below 0.999:

  stage      BEFORE                          AFTER
  mixer      0.039215 @L28  first <0.999 L4  |  0.959737 @L23  first <0.999 L16
  attn       0.161666 @L30  first <0.999 L4  |  0.972812 @L24  first <0.999 L17
  router     0.892737 @L44  first <0.999 L5  |  0.997990 @L22  first <0.999 L21
  route      0.528207 @L42  first <0.999 L3  |  0.745064 @L19  first <0.999 L7
  routed    -0.023606 @L29  first <0.999 L3  |  0.912635 @L17  first <0.999 L15
  ffn       -0.034478 @L29  first <0.999 L3  |  0.926391 @L17  first <0.999 L15
  layer      0.134009 @L44  first <0.999 L3  |  0.971423 @L23  first <0.999 L16

BEFORE: the break is a STEP at layer 3 -- the first MoE layer -- in route/routed/ffn/layer, and
nowhere earlier; routed and ffn go NEGATIVE by layer 29 (the engine's FFN branch ends up pointing
away from the reference's). AFTER: nothing breaks anywhere; every residual-stream stage stays
above 0.95 and degrades MONOTONICALLY with depth from layer ~15, which is the f32-vs-4-bit
instrument drift this comparison is expected to show. End-to-end: argmax 5 vs 5, top-8 set
identical, logits cosine 0.9930 (logits-before-after.txt).

stage       L      n       cos      |ref|      |eng|    ratio     maxabs
routed      5   4096  0.999564      4.099      4.088   0.9972   0.006801
ffn         5   4096  0.999620      4.616      4.618   1.0003   0.007204
layer       5  16384  0.999940      6.532      6.529   0.9997   0.004381
mixer       6   4096  0.999883     0.3875     0.3887   1.0030  0.0003376
attn        6  16384  0.999939      6.186      6.184   0.9996   0.004124
router      6    288  0.999996      88.25      88.24   0.9999    0.05236
route       6     16  1.000000      472.3      472.3   1.0000   0.008388
routed      6   4096  0.999821      11.86      11.81   0.9958    0.01323
ffn         6   4096  0.999822      11.97      11.92   0.9960    0.01339
layer       6  16384  0.999906      7.413      7.393   0.9973   0.005362
mixer       7   4096  0.999828      23.26      23.19   0.9972    0.02776
attn        7  16384  0.999906      7.017      6.997   0.9972    0.00507
router      7    288  0.999996       77.8      77.92   1.0016    0.04049
route       7     16  0.980438      637.1      637.1   1.0000         88
routed      7   4096  0.999805       8.54      8.565   1.0029   0.009511
ffn         7   4096  0.999799      8.626      8.652   1.0030   0.009822
layer       7  16384  0.999905       6.83       6.81   0.9970   0.004791
mixer       8   4096  0.999867      0.138      0.138   0.9999  0.0001375
attn        8  16384  0.999905       6.47      6.453   0.9975   0.004516
router      8    288  0.999996      66.01      66.09   1.0013    0.04073
route       8     16  1.000000      492.5      492.5   1.0000   0.005591
routed      8   4096  0.999804      7.878      7.835   0.9946    0.01015
ffn         8   4096  0.999804       8.14      8.104   0.9955    0.01029
layer       8  16384  0.999902       6.51      6.492   0.9972   0.004561
mixer       9   4096  0.999877     0.2028     0.2028   0.9998  0.0002014
attn        9  16384  0.999903      6.239      6.222   0.9973   0.004386
router      9    288  0.999996      63.15      63.34   1.0030    0.03918
route       9     16  1.000000      495.2      495.2   1.0000   0.007806
routed      9   4096  0.999688       4.06      4.055   0.9987   0.006351
ffn         9   4096  0.999757      4.892      4.888   0.9992   0.006235
layer       9  16384  0.999903      6.349      6.332   0.9973    0.00473
mixer      10   4096  0.999912     0.4582      0.457   0.9972  0.0003502
attn       10  16384  0.999905      6.272      6.257   0.9976    0.00465
router     10    288  0.999996       65.5      65.64   1.0022    0.03913
route      10     16  1.000000      459.5      459.5   1.0000   0.003714
routed     10   4096  0.999736      5.073      5.072   0.9998   0.007723
ffn        10   4096  0.999745      5.456      5.456   1.0000   0.009308
layer      10  16384  0.999897      6.695      6.682   0.9980   0.005074
mixer      11   4096  0.999914       18.2       18.2   1.0003    0.01408
attn       11  16384  0.999897       6.62      6.607   0.9980   0.005022
router     11    288  0.999995      59.38      59.52   1.0023    0.04655
route      11     16  1.000000      468.1      468.1   1.0000   0.005315
routed     11   4096  0.999779      5.343      5.341   0.9997   0.006595
ffn        11   4096  0.999776      5.573      5.573   0.9999   0.007454
layer      11  16384  0.999894      6.844      6.832   0.9982   0.004786
mixer      12   4096  0.999806     0.1927     0.1932   1.0028   0.000227
attn       12  16384  0.999896      6.713        6.7   0.9980   0.004714
router     12    288  0.999996      48.81      48.87   1.0013     0.0241
route      12     16  0.998383      422.7      422.7   1.0000         17
routed     12   4096  0.999807      4.626      4.608   0.9961   0.005727
ffn        12   4096  0.999805      4.931      4.915   0.9967   0.006042
layer      12  16384  0.999893       6.89      6.875   0.9979   0.004757
mixer      13   4096  0.999795     0.3199     0.3198   0.9996  0.0003643
attn       13  16384  0.999895      6.815      6.801   0.9980   0.004753
router     13    288  0.999996      50.25      50.24   0.9999    0.02686
route      13     16  0.908818      374.2      374.2   1.0000        113
routed     13   4096  0.999785      7.057      7.058   1.0002    0.01022
ffn        13   4096  0.999791      7.644      7.644   0.9999    0.01106
layer      13  16384  0.999888      7.199      7.186   0.9982    0.00491
mixer      14   4096  0.999824     0.4497     0.4482   0.9966  0.0004575
attn       14  16384  0.999893      7.025      7.013   0.9982   0.004902
router     14    288  0.999994      53.46      53.43   0.9994    0.03179
route      14     16  1.000000      620.5      620.5   1.0000   0.005873
routed     14   4096  0.999713      7.155      7.179   1.0035   0.009372
ffn        14   4096  0.999734      7.927      7.954   1.0034    0.01002
layer      14  16384  0.999889      7.261      7.248   0.9982   0.004906
mixer      15   4096  0.999818      31.11      31.15   1.0014    0.03595
attn       15  16384  0.999887      7.249      7.236   0.9982   0.004903
router     15    288  0.999992         50       50.1   1.0020    0.04572
route      15     16  0.923690      408.7      457.9   1.1203        176
routed     15   4096  0.985444      5.869        5.9   1.0054    0.05956
ffn        15   4096  0.987639      6.383      6.412   1.0045    0.06042
layer      15  16384  0.999519      7.419      7.408   0.9985     0.0109
mixer      16   4096  0.997633     0.3417     0.3401   0.9951   0.001372
attn       16  16384  0.999547      7.424      7.411   0.9983    0.01047
router     16    288  0.999899      47.86      47.94   1.0018     0.2624
route      16     16  0.873336        546      509.2   0.9325        155
routed     16   4096  0.962031      6.647      6.689   1.0062     0.1127
ffn        16   4096  0.964644       6.92      6.946   1.0037     0.1099
layer      16  16384  0.997751       7.68      7.666   0.9982     0.0285
mixer      17   4096  0.985694     0.4161     0.4267   1.0256   0.004763
attn       17  16384  0.998356      7.609      7.603   0.9992    0.02178
router     17    288  0.999602      46.11      45.16   0.9795     0.3307
route      17     16  0.886671      515.9      485.1   0.9402        150
routed     17   4096  0.912635      4.868      4.615   0.9479     0.1367
ffn        17   4096  0.926391      5.331      5.091   0.9550     0.1357
layer      17  16384  0.991436      8.166      8.123   0.9947    0.06335
mixer      18   4096  0.983359     0.7348     0.7418   1.0094   0.009664
attn       18  16384  0.994658      8.045      8.017   0.9965    0.03951
router     18    288  0.999279      47.83      47.33   0.9896     0.2933
route      18     16  0.992760      446.6      446.6   1.0000         38
routed     18   4096  0.980443      6.849      6.744   0.9846    0.08093
ffn        18   4096  0.981052      7.313      7.215   0.9866    0.08821
layer      18  16384  0.993915      8.754      8.689   0.9927    0.05065
mixer      19   4096  0.989732      44.45      44.05   0.9911     0.4401
attn       19  16384  0.993907      8.834      8.755   0.9910    0.05167
router     19    288  0.999541      52.34      51.25   0.9791     0.3563
route      19     16  0.745064      244.4      344.7   1.4103        217
routed     19   4096  0.973673      5.418      5.341   0.9859    0.07502
ffn        19   4096  0.975556      5.827      5.751   0.9869    0.07876
layer      19  16384  0.991396      9.524      9.389   0.9858    0.06647
mixer      20   4096  0.988825     0.8416     0.8599   1.0218   0.007461
attn       20  16384  0.993015      9.007      8.927   0.9911    0.05511
router     20    288  0.999022      40.27      41.08   1.0202     0.3592
route      20     16  0.968444      500.1      502.3   1.0043         77
routed     20   4096  0.943908      4.961      5.144   1.0368    0.09405
ffn        20   4096  0.947418      5.246      5.385   1.0265     0.0985
layer      20  16384  0.984674       10.3      10.22   0.9922    0.09512
mixer      21   4096  0.968865      1.024     0.9989   0.9753    0.01615
attn       21  16384  0.988114      9.815      9.759   0.9944    0.07285
router     21    288  0.998722      41.23      40.34   0.9784     0.3693
route      21     16  0.936692      437.1      458.9   1.0498        126
routed     21   4096  0.942879      5.022      5.294   1.0541     0.1104
ffn        21   4096  0.945386      5.358      5.627   1.0502     0.1063
layer      21  16384  0.977970      11.91      12.06   1.0124     0.1496
mixer      22   4096  0.968778      1.411      1.358   0.9627    0.02042
attn       22  16384  0.980459      11.25      11.34   1.0081     0.1278
router     22    288  0.997990      37.36      38.34   1.0263     0.4759
route      22     16  0.844165        329        329   1.0000        148
routed     22   4096  0.943744      3.857      3.871   1.0036     0.0706
ffn        22   4096  0.943742      4.114      4.122   1.0020     0.0724
layer      22  16384  0.975918      12.75      12.81   1.0050     0.1791
mixer      23   4096  0.959737      28.21      29.91   1.0600      0.517
attn       23  16384  0.973631      13.13      13.37   1.0179     0.1779
router     23    288  0.998437      40.31      40.17   0.9967     0.4186
route      23     16  0.953140      496.7      496.7   1.0000         78
routed     23   4096  0.952856      4.535      4.648   1.0249    0.08465
ffn        23   4096  0.954536      4.959      5.082   1.0249    0.08283
layer      23  16384  0.971423      15.96      16.24   1.0178     0.2221
mixer      24   4096  0.965687      1.331      1.331   1.0005    0.01897
attn       24  16384  0.972812      15.42      15.69   1.0173     0.2183
router     24    288  0.999075      45.85      45.24   0.9866     0.3467
route      24     16  0.950634      418.6      418.6   1.0000         93
routed     24   4096  0.964135      5.398      5.156   0.9551    0.07734
ffn        24   4096  0.965060      6.088      5.801   0.9528    0.08869
layer      24  16384  0.972612      17.17      17.15   0.9988     0.2214
mixer      25   4096  0.985853      3.061      3.141   1.0260    0.03738
attn       25  16384  0.973992      16.73      16.76   1.0012     0.2134
router     25    288  0.999336      61.12      62.48   1.0222      0.491
route      25     16  0.887943        359        359   1.0000         99
routed     25   4096  0.972302       6.14      5.961   0.9708    0.08548
ffn        25   4096  0.969465      6.488      6.255   0.9641    0.09096
layer      25  16384  0.974952      17.26      17.28   1.0012     0.2091
mixer      26   4096  0.967897      1.773      1.672   0.9432    0.02537
attn       26  16384  0.975817      17.42      17.39   0.9983     0.2115
router     26    288  0.999301      62.72      62.52   0.9969     0.5132
route      26     16  0.908950      369.4      377.3   1.0215        117
routed     26   4096  0.959142      6.676      6.746   1.0106     0.1092
ffn        26   4096  0.959634      6.906      6.977   1.0103     0.1089
layer      26  16384  0.975741      17.83      17.81   0.9991     0.2102
mixer      27   4096  0.985244      10.45      10.67   1.0207     0.1154
attn       27  16384  0.976525      17.64      17.63   0.9993     0.2012
router     27    288  0.999664      71.67       71.9   1.0031     0.3877
route      27     16  0.878324      459.1      446.4   0.9724        168
routed     27   4096  0.976935      8.259      8.253   0.9993     0.1032
ffn        27   4096  0.977522      8.534      8.523   0.9988     0.1065
layer      27  16384  0.977728       18.6      18.56   0.9977     0.1957
mixer      28   4096  0.967863     0.9551      0.991   1.0376    0.01574
attn       28  16384  0.978067      18.47      18.44   0.9982     0.1853
router     28    288  0.999540      68.58      69.18   1.0088      0.442
route      28     16  0.879457      554.9      541.4   0.9756        196
routed     28   4096  0.970299      8.774       9.02   1.0280     0.1216
ffn        28   4096  0.969756      9.043      9.305   1.0290     0.1416
layer      28  16384  0.978368      19.24      19.19   0.9974     0.1823
mixer      29   4096  0.976081      1.236      1.284   1.0393    0.01644
attn       29  16384  0.979229      19.05      19.03   0.9992     0.1784
router     29    288  0.999676      66.77      67.13   1.0054     0.2762
route      29     16  0.988947      269.7      269.7   1.0000         32
routed     29   4096  0.984950      9.972      9.967   0.9995     0.1151
ffn        29   4096  0.984989      10.38      10.39   1.0010     0.1158
layer      29  16384  0.981525      22.45      22.76   1.0139       0.19
mixer      30   4096  0.982705      4.751        4.8   1.0102    0.04922
attn       30  16384  0.982362       25.2      25.51   1.0124     0.1993
router     30    288  0.999661      71.75      72.66   1.0127     0.3533
route      30     16  0.945676      540.8      531.7   0.9832        126
routed     30   4096  0.963943      10.33       10.4   1.0065      0.178
ffn        30   4096  0.964707      10.64      10.71   1.0064     0.1686
layer      30  16384  0.980720      26.57       26.8   1.0087     0.2066
mixer      31   4096  0.988774      29.32       29.4   1.0028     0.2368
attn       31  16384  0.982292      30.33      30.13   0.9932     0.2223
router     31    288  0.999749      72.01      72.33   1.0044     0.2761
route      31     16  0.943434      414.8      380.1   0.9163        138
routed     31   4096  0.984282      12.38      12.51   1.0106     0.1201
ffn        31   4096  0.984606      12.74      12.85   1.0087     0.1164
layer      31  16384  0.983711      34.94      34.84   0.9971     0.2626
mixer      32   4096  0.985116      1.678      1.618   0.9640    0.01701
attn       32  16384  0.983769      34.61      34.49   0.9966     0.2726
router     32    288  0.999605      70.77      71.67   1.0128     0.3559
route      32     16  0.903512        376      457.8   1.2173        147
routed     32   4096  0.966751      11.64      12.03   1.0339     0.1845
ffn        32   4096  0.968423      12.18      12.55   1.0296     0.1898
layer      32  16384  0.983055      35.64      35.62   0.9995     0.2661
mixer      33   4096  0.979212      2.587      2.597   1.0039    0.03454
attn       33  16384  0.983263       35.4      35.39   0.9999      0.266
router     33    288  0.999609      65.41      65.49   1.0012     0.3138
route      33     16  0.816603      280.8      274.2   0.9765        117
routed     33   4096  0.968425      8.834       8.74   0.9894     0.1247
ffn        33   4096  0.970525        9.4      9.349   0.9946     0.1297
layer      33  16384  0.983277      35.74      35.72   0.9993     0.2734
mixer      34   4096  0.994435      19.26      19.28   1.0014     0.1242
attn       34  16384  0.990456      52.19      52.27   1.0016      0.308
router     34    288  0.999655      68.45      68.16   0.9958     0.3127
route      34     16  0.945337        524      564.3   1.0770        177
routed     34   4096  0.964530       7.58      7.484   0.9874     0.1185
ffn        34   4096  0.975839      9.314      9.334   1.0021     0.1137
layer      34  16384  0.990075      52.38      52.52   1.0025     0.3366
mixer      35   4096  0.994223      33.34      32.37   0.9708      0.248
attn       35  16384  0.989984      58.41      56.94   0.9750     0.3341
router     35    288  0.999723      74.22      73.82   0.9946     0.3637
route      35     16  0.918971      292.7      292.7   1.0000         64
routed     35   4096  0.976878      11.03      10.31   0.9345     0.1371
ffn        35   4096  0.981735      12.74      12.14   0.9525     0.1341
layer      35  16384  0.989387      58.06      56.51   0.9734      0.375
mixer      36   4096  0.997563      16.92      16.97   1.0028    0.07197
attn       36  16384  0.992565      73.04      71.97   0.9853     0.3788
router     36    288  0.999700      75.59      75.01   0.9924     0.3679
route      36     16  0.879729      496.9      462.6   0.9310        161
routed     36   4096  0.969670      11.54      11.29   0.9782     0.1599
ffn        36   4096  0.970773      12.07       11.8   0.9780     0.1582
layer      36  16384  0.991675      73.01      71.89   0.9846     0.4041
mixer      37   4096  0.970529       2.78      2.931   1.0545    0.04742
attn       37  16384  0.991553      71.94      70.83   0.9846     0.3728
router     37    288  0.999409      59.85      59.84   1.0000      0.412
route      37     16  0.753226      497.3      460.3   0.9256        208
routed     37   4096  0.969713      12.48      12.59   1.0093      0.211
ffn        37   4096  0.970002      13.32      13.41   1.0068      0.215
layer      37  16384  0.990973      73.42      72.32   0.9850     0.4126
mixer      38   4096  0.978049      2.194      2.152   0.9806    0.02784
attn       38  16384  0.990842      73.15      71.99   0.9842     0.4081
router     38    288  0.999381      55.56      56.08   1.0094     0.4856
route      38     16  0.756881      547.7        480   0.8764        226
routed     38   4096  0.968507      13.02      12.55   0.9635     0.1927
ffn        38   4096  0.967958      13.63      13.25   0.9720     0.1874
layer      38  16384  0.990460      74.19      72.96   0.9835     0.4611
mixer      39   4096  0.990313      15.57      14.89   0.9563     0.1439
attn       39  16384  0.990005      73.83      72.31   0.9794     0.4794
router     39    288  0.999269      47.75      48.46   1.0149     0.3938
route      39     16  0.835778      471.3      471.3   1.0000        191
routed     39   4096  0.976890      12.83      12.87   1.0034     0.1835
ffn        39   4096  0.977692      13.79      13.93   1.0101     0.1915
layer      39  16384  0.989788      74.81      73.23   0.9789     0.4865
mixer      40   4096  0.972272       3.21      3.343   1.0412    0.04842
attn       40  16384  0.989943      74.51      73.06   0.9805     0.4649
router     40    288  0.999355       51.6      52.01   1.0079     0.2967
route      40     16  0.972934      467.7      497.3   1.0633        109
routed     40   4096  0.965101      12.83      13.01   1.0139      0.224
ffn        40   4096  0.970191      14.88      15.25   1.0248     0.2094
layer      40  16384  0.989526      75.61      74.23   0.9818      0.452
mixer      41   4096  0.976812      3.427      3.518   1.0266    0.04003
attn       41  16384  0.989106      74.36      73.42   0.9874     0.4439
router     41    288  0.999187      39.47      39.76   1.0074     0.3652
route      41     16  0.939134      498.6      498.6   1.0000        123
routed     41   4096  0.984406      21.23       21.4   1.0081     0.2207
ffn        41   4096  0.984443      22.99      23.08   1.0038     0.2262
layer      41  16384  0.989225      77.94      76.99   0.9878     0.4821
mixer      42   4096  0.984481      6.147      6.127   0.9969    0.06512
attn       42  16384  0.989425      76.84      76.23   0.9920      0.488
router     42    288  0.999195      38.05       38.3   1.0066     0.2711
route      42     16  0.789854      462.3      462.3   1.0000        195
routed     42   4096  0.988083      22.63       22.7   1.0031     0.2308
ffn        42   4096  0.990613      27.79       27.8   1.0004     0.2445
layer      42  16384  0.989710      80.51      80.04   0.9942     0.4924
mixer      43   4096  0.989532      36.25      35.59   0.9817     0.3897
attn       43  16384  0.989432      79.65      79.36   0.9963     0.5076
router     43    288  0.999156      37.28      37.41   1.0035     0.2481
route      43     16  0.932455      514.8      462.9   0.8992        122
routed     43   4096  0.933577      19.05      19.36   1.0165     0.4124
ffn        43   4096  0.970250       29.8      30.38   1.0193     0.4429
layer      43  16384  0.985978      86.29       86.1   0.9978     0.5982
mixer      44   4096  0.989476      11.57      11.58   1.0012     0.2439
attn       44  16384  0.986291      90.44      90.12   0.9964      0.581
router     44    288  0.999136      41.49      41.21   0.9931      0.362
route      44     16  0.971899      365.7      381.1   1.0420         88
routed     44   4096  0.989654      36.29      37.13   1.0231     0.4007
ffn        44   4096  0.995762       78.5      82.66   1.0529      3.115
layer      44  16384  0.992206      153.4      156.2   1.0177      3.965
collapse   -1   4096  0.992017      57.83      58.29   1.0081       1.08
