[step37-defaults] serving doors armed ON for the SlidingGatedMoe program (per-flag =0 kills, =1 forces; owner flip 2026-08-27)
[step-tp-o] load layer=42 devices=[0, 1] projection=o o_tensor_parallel=true attention_local=true kv_local=true transport=native-p2p native_p2p=true reduction=global-tp8-block-order output=root-readback performance_claim=false
[step-tp] layer=42 devices=[0, 1] experts=288 tp=2 artifact=nvfp4 expert_layout=tensor-parallel transport=native-p2p native_p2p=true performance_claim=false
[bf16-mmv] RESIDENT blk.42.ffn_gate_shexp.weight ne=[4096, 1280] n=5242880 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.42.ffn_up_shexp.weight ne=[4096, 1280] n=5242880 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.42.ffn_down_shexp.weight ne=[1280, 4096] n=5242880 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.43.attn_q.weight ne=[4096, 12288] n=50331648 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.43.attn_k.weight ne=[4096, 1024] n=4194304 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.43.attn_v.weight ne=[4096, 1024] n=4194304 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.43.attn_output.weight ne=[12288, 4096] n=50331648 admit=bf16_mmv
[step-tp-qkv] load layer=43 devices=[0, 1] projections=qkv qkv_tensor_parallel=true attention_local=true kv_local=true output_local=true transport=native-p2p native_p2p=true output=root-readback performance_claim=false
[step-tp-attn-plan] load layer=43 devices=[0, 1] qkv_tensor_parallel=true attention_tensor_parallel=true kv_cache_distributed=true attention_scope=rank-local-swa-ring transport=native-p2p native_p2p=true replicated_decode_input_prepared=true performance_claim=false
[step-tp-o] load layer=43 devices=[0, 1] projection=o o_tensor_parallel=true attention_local=true kv_local=true transport=native-p2p native_p2p=true reduction=global-tp8-block-order output=root-readback performance_claim=false
[step-tp] layer=43 devices=[0, 1] experts=288 tp=2 artifact=nvfp4 expert_layout=tensor-parallel transport=native-p2p native_p2p=true performance_claim=false
[step-tp-clamp] load layer=43 routed_clamp=7 formula=min-silu-times-clamped-up performance_claim=false
[bf16-mmv] RESIDENT blk.43.ffn_gate_shexp.weight ne=[4096, 1280] n=5242880 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.43.ffn_up_shexp.weight ne=[4096, 1280] n=5242880 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.43.ffn_down_shexp.weight ne=[1280, 4096] n=5242880 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.44.attn_q.weight ne=[4096, 8192] n=33554432 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.44.attn_k.weight ne=[4096, 1024] n=4194304 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.44.attn_v.weight ne=[4096, 1024] n=4194304 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.44.attn_output.weight ne=[8192, 4096] n=33554432 admit=bf16_mmv
[step-tp-qkv] load layer=44 devices=[0, 1] projections=qkv qkv_tensor_parallel=true attention_local=true kv_local=true output_local=true transport=native-p2p native_p2p=true output=root-readback performance_claim=false
[step-tp-attn-plan] load layer=44 devices=[0, 1] qkv_tensor_parallel=true attention_tensor_parallel=true kv_cache_distributed=true attention_scope=rank-local-global transport=native-p2p native_p2p=true replicated_decode_input_prepared=true performance_claim=false
[step-tp-o] load layer=44 devices=[0, 1] projection=o o_tensor_parallel=true attention_local=true kv_local=true transport=native-p2p native_p2p=true reduction=global-tp8-block-order output=root-readback performance_claim=false
[step-tp] layer=44 devices=[0, 1] experts=288 tp=2 artifact=nvfp4 expert_layout=tensor-parallel transport=native-p2p native_p2p=true performance_claim=false
[step-tp-clamp] load layer=44 routed_clamp=7 formula=min-silu-times-clamped-up performance_claim=false
[bf16-mmv] RESIDENT blk.44.ffn_gate_shexp.weight ne=[4096, 1280] n=5242880 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.44.ffn_up_shexp.weight ne=[4096, 1280] n=5242880 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.44.ffn_down_shexp.weight ne=[1280, 4096] n=5242880 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.45.nextn.eh_proj.weight ne=[8192, 4096] n=33554432 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.45.attn_q.weight ne=[4096, 12288] n=50331648 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.45.attn_k.weight ne=[4096, 1024] n=4194304 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.45.attn_v.weight ne=[4096, 1024] n=4194304 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.45.attn_output.weight ne=[12288, 4096] n=50331648 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.45.ffn_gate.weight ne=[4096, 11264] n=46137344 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.45.ffn_up.weight ne=[4096, 11264] n=46137344 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.45.ffn_down.weight ne=[11264, 4096] n=46137344 admit=bf16_mmv
[mtp-head] blk.45.nextn.shared_head_head.weight: BF16 -> NVFP4 (283 MiB, was 1007 MiB)
[bf16-mmv] RESIDENT blk.45.nextn.shared_head.weight ne=[4096, 128896] n=527958016 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.46.nextn.eh_proj.weight ne=[8192, 4096] n=33554432 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.46.attn_q.weight ne=[4096, 12288] n=50331648 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.46.attn_k.weight ne=[4096, 1024] n=4194304 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.46.attn_v.weight ne=[4096, 1024] n=4194304 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.46.attn_output.weight ne=[12288, 4096] n=50331648 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.46.ffn_gate.weight ne=[4096, 11264] n=46137344 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.46.ffn_up.weight ne=[4096, 11264] n=46137344 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.46.ffn_down.weight ne=[11264, 4096] n=46137344 admit=bf16_mmv
[mtp-head] blk.46.nextn.shared_head_head.weight: BF16 -> NVFP4 (283 MiB, was 1007 MiB)
[bf16-mmv] RESIDENT blk.46.nextn.shared_head.weight ne=[4096, 128896] n=527958016 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.47.nextn.eh_proj.weight ne=[8192, 4096] n=33554432 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.47.attn_q.weight ne=[4096, 12288] n=50331648 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.47.attn_k.weight ne=[4096, 1024] n=4194304 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.47.attn_v.weight ne=[4096, 1024] n=4194304 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.47.attn_output.weight ne=[12288, 4096] n=50331648 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.47.ffn_gate.weight ne=[4096, 11264] n=46137344 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.47.ffn_up.weight ne=[4096, 11264] n=46137344 admit=bf16_mmv
[bf16-mmv] RESIDENT blk.47.ffn_down.weight ne=[11264, 4096] n=46137344 admit=bf16_mmv
[mtp-head] blk.47.nextn.shared_head_head.weight: BF16 -> NVFP4 (283 MiB, was 1007 MiB)
[bf16-mmv] RESIDENT blk.47.nextn.shared_head.weight ne=[4096, 128896] n=527958016 admit=bf16_mmv
[mtp-draft] embedded chain: heads=3 blocks=45..=47 scratch=per-head
[fa] v4 decode family disabled: gqa 12 > fa_v4_smem capacity 8 (v3 lane serves)
loaded safetensors (48 layers, nextn=3)
text prompt (2731 chars, chat-templated) -> 613 tokens
prompt tokens: [0, 128006, 5265, 201, 61, 5265, 2859, 223, 19, 63, 2042, 13313, 304, 4863, 270, 8003, 103860, 19706, 367, 9431, 19633, 15239, 343, 939, 24, 15, 2642, 15, 864, 11, 565, 41802, 21121, 28, 4550, 964, 869, 19861, 343, 75, 46, 35890, 14, 420, 9422, 14, 63904, 11, 764, 20460, 40004, 39711, 119165, 63, 565, 9431, 6107, 28, 69911, 284, 5566, 667, 46469, 105027, 16106, 4306, 34201, 418, 1492, 32031, 343, 60861, 8883, 11, 2136, 1699, 17569, 295, 6951, 418, 44298, 47509, 42557, 11684, 29, 83295, 10436, 10156, 418, 16897, 223, 18, 343, 84076, 4006, 10461, 15313, 295, 2501, 17, 42852, 23074, 513, 852, 1715, 2276, 797, 565, 12983, 4866, 28, 6195, 20518, 6915, 8003, 5572, 509, 1492, 21983, 17, 724, 59586, 24750, 17, 47691, 17, 116149, 17, 939, 24, 15, 2642, 15, 864, 46370, 964, 869, 15, 49461, 1878, 43305, 71163, 2417, 24765, 2641, 19793, 26887, 343, 64915, 3077, 10869, 14, 10159, 70142, 14, 33715, 113776, 14, 10200, 12511, 14, 305, 17157, 797, 565, 20673, 28, 16420, 5553, 16, 20414, 3811, 305, 28272, 11336, 362, 3988, 6915, 16, 3011, 3631, 4653, 26088, 16, 764, 624, 15059, 63, 36968, 436, 14, 2513, 734, 28780, 566, 16, 5978, 14, 270, 3967, 8900, 260, 13672, 294, 786, 118316, 3607, 2632, 377, 35062, 19861, 343, 75, 46, 35890, 14, 420, 9422, 14, 63904, 11, 362, 65160, 14, 1748, 33, 5978, 14, 342, 1531, 24997, 270, 10156, 3607, 7231, 1257, 14, 1539, 10796, 3477, 304, 1694, 418, 2894, 6531, 4524, 304, 270, 8003, 851, 1960, 14, 1748, 33, 37157, 14, 1257, 14, 2513, 734, 13742, 1205, 851, 611, 28, 851, 11127, 260, 5212, 29606, 377, 1948, 8668, 35062, 19861, 4836, 362, 65160, 14, 611, 260, 3530, 8003, 4866, 16, 5978, 14, 4337, 38824, 377, 270, 10156, 2632, 14, 396, 734, 1894, 16, 5715, 14, 1205, 6923, 2924, 588, 342, 3477, 33, 4480, 734, 2310, 3338, 2894, 6531, 396, 12628, 418, 786, 3607, 3618, 14, 2918, 851, 4750, 4843, 65160, 538, 8390, 14, 1748, 33, 5978, 14, 10796, 3477, 304, 1694, 418, 3549, 5949, 294, 270, 8003, 855, 851, 1970, 304, 3862, 33, 12554, 14, 855, 851, 1970, 304, 4961, 1407, 270, 1008, 46, 35890, 66376, 14, 469, 12131, 420, 9422, 8062, 1008, 46, 35890, 7752, 850, 74268, 891, 14, 469, 63904, 9963, 81648, 362, 65160, 343, 8679, 362, 532, 19765, 36454, 14, 14812, 42817, 14, 396, 3576, 294, 2953, 1347, 2352, 797, 9085, 14, 10796, 10200, 2894, 6531, 28, 1277, 855, 851, 1970, 304, 4678, 260, 4654, 1008, 46, 35890, 60950, 362, 260, 223, 20, 38, 1752, 4273, 469, 260, 223, 19, 38, 14812, 20706, 14, 342, 588, 1694, 418, 396, 33715, 113776, 469, 32669, 4653, 16, 2709, 855, 851, 1970, 304, 8013, 270, 8003, 418, 1347, 2352, 3549, 13750, 14, 1277, 362, 9924, 20110, 22314, 63904, 14, 469, 2883, 1797, 35062, 19861, 14, 396, 734, 411, 7284, 2727, 16, 37157, 990, 14, 270, 13672, 43375, 436, 734, 538, 764, 20460, 40004, 39711, 119165, 3031, 832, 851, 4750, 6162, 5345, 59972, 65160, 4134, 16, 17519, 990, 3477, 304, 7872, 566, 304, 18885, 12179, 851, 2786, 366, 3607, 2894, 14, 1277, 855, 851, 4750, 8067, 304, 8984, 7874, 14, 469, 2703, 6129, 33171, 14, 469, 1487, 14470, 362, 2645, 4890, 2703, 14, 396, 734, 7723, 16, 37157, 2513, 734, 4456, 436, 17574, 28, 223, 19, 16, 5978, 14, 24997, 270, 10156, 3607, 2632, 14, 396, 734, 260, 7527, 5212, 29606, 377, 8668, 2645, 4890, 35062, 19861, 4836, 396, 477, 3777, 59972, 362, 65160, 343, 35868, 362, 532, 19765, 36454, 14, 14812, 42817, 14, 35155, 84293, 26, 88027, 83, 63339, 2990, 28, 223, 18, 764, 5265, 2859, 223, 20, 63, 1350, 128007, 201, 128006, 624, 15059, 201, 128798, 201]
[step35-prime-batch] first concat prime: B=1 tokens=613
[moe-sk-form] dev=0 qt=7 sms=188 occ128=1 occ32=7 occt=3 cross=64 xcross=64 bdb=0 in_f=4096 out_f=640 n_active=260 max_m=196
[gemm-prime] ENGAGED t=613 base=0 seq_end=613 chunks<=4096 (GEMM trunk + grouped MoE)
[step-tp-decode-v2] workspace ranks=2 local_q=4096 local_kv=512 heads=64 o_blocks=4x1024 residency=persistent ordering=evented performance_claim=false
[fa-pool] grow #0 dev=0 o_len 0 -> 159744 ml_len 0 -> 1248 (retired kept, zero=false)
[fa-pool] grow #1 dev=1 o_len 0 -> 159744 ml_len 0 -> 1248 (retired kept, zero=false)
[step-tp-attn-v2] execute layer=0 devices=[0, 1] tokens=1 driver=v2 qkv_tensor_parallel=true qk_norm_rank_local=true rope_rank_local=true kv_cache_distributed=true kv_cache_hydrated=true attention_tensor_parallel=true attention_scope=rank-local-global input_path=root-device-replicated gate_tensor_parallel=false gate_shards=device-staged o_tensor_parallel=true o_reduce=root-device local_cache_shadow=true cache_commit=immediate transport=native-p2p native_p2p=true bulk_p2p=false workspace=persistent ordering=evented output=e-device performance_claim=false (logged once; every decode layer runs this driver)
[step-tp-decode-v2] workspace ranks=2 local_q=6144 local_kv=512 heads=96 o_blocks=4x1536 residency=persistent ordering=evented performance_claim=false
[fa-pool] grow #2 dev=0 o_len 159744 -> 319488 ml_len 1248 -> 2496 (retired kept, zero=false)
[fa-pool] grow #3 dev=1 o_len 159744 -> 319488 ml_len 1248 -> 2496 (retired kept, zero=false)
[step-tp] execute layer=3 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=4 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=5 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=6 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=7 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=8 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=9 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=10 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=11 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=12 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=13 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=14 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=15 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=16 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=17 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=18 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=19 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=20 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=21 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=22 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=23 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=24 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=25 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=26 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=27 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=28 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=29 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=30 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=31 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=32 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=33 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=34 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=35 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=36 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=37 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=38 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=39 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=40 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=41 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=42 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=43 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[step-tp] execute layer=44 tokens=1 devices=[0, 1] expert_transport=native-p2p native_p2p=true router=device activation=host-canonical accumulation=host-canonical output=e-device io=device performance_claim=false (logged once per layer)
[gemm-prime] ENGAGED t=613 base=0 seq_end=613 chunks<=4096 (GEMM trunk + grouped MoE)

[generate]   159 tok in 1.545s = 102.93 tok/s (gen-only; this run's prime 0.306s)
  oracle: sliding-gated-MoE live B=1 batched target
  tokens: [70935, 436, 14, 2513, 734, 1904, 513, 33581, 17574, 304, 270, 3967, 734, 1257, 2859, 1479, 851, 8900, 786, 10156, 118316, 3607, 13672, 377, 35062, 19861, 343, 75, 46, 35890, 14, 420, 9422, 14, 63904, 11, 362, 786, 65160, 39711, 119165, 3607, 3618, 339, 10318, 14, 24997, 270, 10156, 2632, 1257, 965, 51961, 2038, 4836, 477, 982, 821, 12, 59972, 362, 2645, 4890, 65160, 2703, 14, 396, 734, 260, 2405, 5212, 29606, 304, 10896, 295, 16, 5715, 14, 2918, 851, 611, 270, 3530, 8003, 4866, 14, 3477, 15360, 14, 7723, 2894, 6531, 396, 12628, 418, 786, 582, 20460, 40004, 538, 8390, 4, 3607, 4629, 14, 1748, 1240, 39059, 14, 270, 3967, 734, 1257, 6304, 515, 270, 13672, 294, 786, 10156, 3607, 7231, 14, 1539, 270, 22896, 5271, 33581, 790, 3557, 4619, 1375, 33, 37157, 1119, 14, 4735, 1559, 28, 270, 3967, 734, 1257, 2859, 344, 270, 13672, 294, 786, 118316, 3607, 2632, 14, 1539, 270, 22896, 734, 4256, 515, 4619]
[mtp-chain] heads=3 policy=step-modulo prefix-replay kv=per-head
[gemm-prime] ENGAGED t=613 base=0 seq_end=613 chunks<=4096 (GEMM trunk + grouped MoE)
[mtp-geom] arm=dcw block=45 swa=true window=512 n_head=96 n_head_kv=8 head_dim_k=128 n_rot=128 rope_base=10000 clamp_shexp=None
[fa-pool] grow #4 dev=0 o_len 0 -> 393216 ml_len 0 -> 3072 (retired kept, zero=false)
[mtp-chain-graph] captured mode=sampled heads=3 interior=3 last=3 filtered=1 key=SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false }
[skey] burst sampled=1 pure_temp=0 capturable=1 temp=0.5 top_k=0 top_p=0.9 min_p=0 pen_on=0 k=1 graph_draft=1 graph_s_parked=0 chain_s_parked=1 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=0 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=1 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[fa-pool] grow #5 dev=0 o_len 319488 -> 638976 ml_len 2496 -> 4992 (retired kept, zero=false)
[fa-pool] grow #6 dev=1 o_len 319488 -> 638976 ml_len 2496 -> 4992 (retired kept, zero=false)
[skey] chain=graph_chain_s round=2 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=3 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=4 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=5 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=6 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=7 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=8 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=9 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=10 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=11 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=12 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=13 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=14 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=15 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
