# qwen4exp_real_gate	label=m11-DIAG-trace	binary_sha256=d744e1ca6b4ebfdaa97fe4709eea3a5f4cfe49b853e2de5265601f8765310a7d	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-trace k=5 tokens=256: per-round records; carrier_rel_l2[j] = draft seed for chunk row j vs the trunk's TRUE wide row (chain step j+1's input)
prompt	round	gen_pos	base	k_round	a	drafts	targets	d_top1	d_top2	d_tgt_logit	d_tgt_rank	t_top1	t_top2	t_draft_logit	t_entropy	carrier_rel_l2	carrier_cos
0	15	63	73	5	5	1330,10300,10278,11140,1083	1330,10300,10278,11140,1083,799	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.3407,1.3841,1.2959,1.4591	0.26152,0.29293,0.32269,0.30427
0	16	69	79	5	5	10300,10278,1103,13,198	10300,10278,1103,13,198,1031	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1916,1.2091,1.1348,1.2419	0.57398,0.40932,0.31805,0.30249
0	17	75	85	5	5	262,17167,25,198,285	262,17167,25,198,285,1103	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1940,1.1453,1.6865,1.2348	0.23315,0.36617,0.16729,0.11297
0	18	81	91	5	2	16,25,5339,10300,10278	16,25,10877,10300,10278,1103	29.109	23.758	16.864	13	24.451	23.000	17.325	0.5132	1.0255,1.3389,1.6387,1.4043	0.36393,0.23339,0.35816,0.31071
0	19	84	94	3	3	314,279,1118	314,279,1118,10300	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.3742,1.3580	0.29718,0.27684
0	20	88	98	4	4	10278,1103,13,198	10278,1103,13,198,285	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9379,1.0447,1.2827	0.48606,0.34854,0.33324
0	21	93	103	5	5	1103,17,25,10877,314	1103,17,25,10877,314,279	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9693,1.3043,1.5236,1.7233	0.37772,0.18791,0.19133,0.33360
0	22	99	109	5	5	2018,10300,10278,1103,13	2018,10300,10278,1103,13,198	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9649,1.2535,1.3997,1.5171	0.37040,0.33448,0.30753,0.22545
0	23	105	115	5	5	1031,262,5019,25,198	1031,262,5019,25,198,285	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0034,1.2741,1.5678,1.6362	0.37401,0.18747,0.26721,0.14346
0	24	111	121	5	0	561,1901,2357,314,279	10877,1901,314,314,279,25170	20.218	18.739	18.739	1	24.857	19.704	19.704	0.0383	0.8592,1.1990,1.2938,1.1721	0.57380,0.41951,0.29150,0.27091
0	25	112	122	1	1	314	314,279	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
0	26	114	124	2	2	25170,10300	25170,10300,10278	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.8468	0.55907
0	27	117	127	3	3	1103,13,198	1103,13,198,262	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9666,1.2496	0.40069,0.20140
0	28	121	131	4	4	4071,198,262,653	4071,198,262,653,4091	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1100,1.4504,1.5223	0.31780,0.13059,0.21297
0	29	126	136	5	4	264,16782,2357,310,3579	264,16782,2357,310,8418,6607	31.726	23.007	19.444	18	23.537	22.773	16.235	1.3658	1.2762,1.1636,1.6298,1.8088	0.39594,0.52671,0.36461,0.30478
0	30	131	141	5	2	430,279,5732,1406,364	430,279,1151,1406,314,279	25.204	24.177	24.177	1	25.783	24.675	24.675	0.6776	1.9040,1.3992,1.2172,1.8967	0.39880,0.32142,0.42729,0.36576
0	31	134	144	3	3	314,279,25170	314,279,25170,1103	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	2.3981,1.7085	0.44768,0.34587
0	32	138	148	4	4	198,262,16782,283	198,262,16782,283,19876	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.4302,1.5464,1.9270	0.25813,0.24173,0.38348
0	33	143	153	5	5	7,15,8,198,262	7,15,8,198,262,1428	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2681,1.1499,1.3844,1.3001	0.45256,0.38203,0.22056,0.14648
0	34	149	159	5	2	283,16782,271,262,1345	283,16782,6987,262,653,1103	23.623	21.198	21.198	1	23.935	21.046	21.046	0.2165	1.1553,1.3038,1.4064,1.6390	0.30905,0.26175,0.27824,0.19239
0	35	152	162	3	2	262,653,23024	262,653,83739,7552	26.579	25.811	20.949	6	24.154	19.933	19.432	0.1538	1.1086,1.3524	0.25850,0.30562
0	36	155	165	3	2	2107,11140,1345	2107,11140,321,2107	22.736	21.971	21.971	1	24.576	21.550	20.943	0.4781	1.3364,1.7018	0.33246,0.39850
0	37	158	168	3	1	9150,1070,198	9150,7552,2357,262	21.392	21.154	19.084	4	26.403	24.358	12.910	0.5141	1.1973,1.3934	0.56660,0.41801
0	38	160	170	2	2	198,262	198,262,1345	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1817	0.49256
0	39	163	173	3	3	1103,16,321	1103,16,321,1103	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.8169,1.1781	0.20911,0.22903
0	40	167	177	4	4	17,25,198,285	17,25,198,285,413	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0596,1.6327,1.2095	0.21880,0.23695,0.13335
0	41	172	182	5	5	1103,16,10518,2564,1103	1103,16,10518,2564,1103,17	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1908,1.1080,1.2710,1.7069	0.31514,0.29893,0.31863,0.25154
0	42	178	188	5	5	10518,25,198,309,1428	10518,25,198,309,1428,4381	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1932,1.4808,1.3497,1.5216	0.38553,0.20955,0.12777,0.16601
0	43	184	194	5	5	283,1103,16,198,309	283,1103,16,198,309,1103	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1342,1.4181,1.1007,1.2038	0.24401,0.28128,0.23214,0.15285
0	44	190	200	5	5	16,283,1103,16,4381	16,283,1103,16,4381,198	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9961,1.3690,1.4118,1.3564	0.32742,0.22731,0.25298,0.20219
0	45	196	206	5	5	285,745,25,198,309	285,745,25,198,309,1428	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0552,1.7221,1.7964,1.5390	0.28028,0.21785,0.15871,0.10952
0	46	202	212	5	5	4381,283,1103,17,198	4381,283,1103,17,198,309	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.5428,1.6147,1.7131,1.3890	0.30957,0.17622,0.22913,0.18930
0	47	208	218	5	5	1103,17,283,1103,17	1103,17,283,1103,17,4381	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0053,1.2899,1.4492,1.6478	0.37881,0.24506,0.27143,0.29070
0	48	214	224	5	5	198,285,1428,283,1428	198,285,1428,283,1428,4381	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0081,1.1936,1.4942,1.4154	0.27523,0.26965,0.23545,0.14956
0	49	220	230	5	3	6987,262,653,1368,799	6987,262,653,46772,1017,314	27.493	26.903	26.903	1	25.850	22.716	22.716	0.2874	1.0202,1.3375,1.5318,2.1109	0.33330,0.18200,0.23209,0.40723
0	50	224	234	4	2	279,9376,7552,310	279,9376,5255,494,279	25.388	25.276	21.294	2	24.311	23.539	23.539	1.0175	1.3451,1.7742,1.9518	0.39146,0.42201,0.35693
0	51	227	237	3	3	494,2892,1103	494,2892,1103,16	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.5818,2.0280	0.53909,0.48491
0	52	231	241	4	4	466,1103,17,198	466,1103,17,198,262	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2300,1.3172,1.0802	0.29386,0.30897,0.29367
0	53	236	246	5	5	413,1103,16,25,198	413,1103,16,25,198,285	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9246,1.5347,1.1609,1.3715	0.49067,0.24020,0.22842,0.21310
0	54	242	252	5	5	1428,4381,283,1103,16	1428,4381,283,1103,16,198	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.8870,1.3012,1.3759,1.3825	0.46196,0.32083,0.19641,0.26080
0	55	248	258	5	1	262,745,25,198,285	262,4265,25,198,285,1428	23.097	20.766	20.766	1	22.980	22.375	22.375	0.8849	0.9576,1.2199,1.3291,1.1686	0.32558,0.34238,0.23858,0.16170
0	56	250	260	2	2	1103,17	1103,17,25	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2654	0.27379
0	57	253	263	3	3	198,285,1428	198,285,1428,4381	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1465,1.1495	0.18825,0.24341
# prompt 0	first_divergence=-1	accept=0.861	mean_len=4.41	rounds=58	zero_draft=1	guard_stops=1	cross_ms=1.28
1	0	1	5	1	1	13	13,271	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.3874	0.38600
1	1	3	7	2	0	760,6511	248068,6511,314	18.016	15.730	13.676	9	17.808	15.988	12.996	1.1019	1.1281	0.50280
1	2	4	8	1	1	198	198,760	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
1	3	6	10	2	2	1156,682	1156,682,10661	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.6044	0.38911
1	4	9	13	3	3	328,760,6511	328,760,6511,314	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2170,1.4817	0.41551,0.22592
1	5	13	17	4	4	8071,369,20620,1149	8071,369,20620,1149,1061	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9866,1.2044,1.3357	0.43344,0.27236,0.30456
1	6	18	22	5	5	369,264,57879,1412,13	369,264,57879,1412,13,561	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9999,1.3237,1.1562,1.1693	0.45594,0.44884,0.45513,0.39008
1	7	24	28	5	4	6511,314,8071,369,20620	6511,314,8071,369,66463,369	22.859	20.737	20.074	3	25.707	23.441	14.953	0.4265	1.3611,1.1873,1.3173,1.2968	0.46328,0.27533,0.30873,0.25612
1	8	29	33	5	4	11,524,20620,13,353	11,524,20620,13,20620,1220	25.163	21.604	12.511	34	24.678	19.628	19.628	0.0567	1.0957,1.2266,1.6445,1.3976	0.28974,0.34245,0.31525,0.19034
1	9	34	38	5	5	369,279,7526,3177,303	369,279,7526,3177,303,8071	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.4185,1.7910,1.9660,1.6541	0.30073,0.34820,0.32452,0.23844
1	10	40	44	5	2	321,279,1379,91188,3177	321,279,6511,1575,11,303	26.092	19.640	18.534	4	26.814	21.685	21.685	0.0402	1.2371,1.3101,1.6961,1.4933	0.38805,0.40589,0.37483,0.28901
1	11	43	47	3	1	314,279,1528	314,1478,1528,314	24.162	23.320	23.320	1	30.224	24.445	24.445	0.0213	1.2102,1.3215	0.28869,0.36537
1	12	45	49	2	2	4725,22218	4725,22218,11	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1655	0.39657
1	13	48	52	3	3	694,424,369	694,424,369,524	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1601,1.6519	0.38194,0.37249
1	14	52	56	4	1	279,6511,13,353	279,5145,314,353,1220	30.263	26.146	26.146	1	30.947	27.975	27.975	0.2248	1.2652,1.1474,1.3309	0.33025,0.41279,0.25963
1	15	54	58	2	2	6511,13	6511,13,353	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0755	0.43063
1	16	57	61	3	3	1220,77980,4252	1220,77980,4252,411	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.3328,1.7757	0.34233,0.41644
1	17	61	65	4	4	93974,13,198,248069	93974,13,198,248069,271	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.8437,1.1633,1.5876	0.60487,0.39412,0.24405
1	18	66	70	5	2	4639,579,524,12995,13	4639,579,3404,4847,13,561	30.211	29.698	23.785	3	30.479	27.993	25.471	0.3071	0.9567,1.2163,1.4573,1.4355	0.63439,0.39794,0.37729,0.32450
1	19	69	73	3	3	264,4047,93974	264,4047,93974,0	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9882,1.2703	0.53454,0.47575
1	20	73	77	4	4	561,6511,314,8071	561,6511,314,8071,369	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1424,1.7981,1.3371	0.41719,0.33926,0.24992
1	21	78	82	5	5	2972,6503,60241,93868,524	2972,6503,60241,93868,524,20620	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1008,1.3623,1.1824,1.6189	0.44226,0.45729,0.26019,0.31575
1	22	84	88	2	2	13,271	13,271,33519	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0252,1.2971	0.27984,0.40327
1	23	87	91	3	2	18220,369,279	18220,369,8071,7526	27.049	20.556	17.527	2	25.594	24.129	24.129	0.4888	1.3285,1.6199	0.29225,0.33122
1	24	90	94	3	2	579,7526,3177	579,7526,321,321	28.284	23.248	23.248	1	25.841	25.713	25.713	0.6956	1.1460,1.2941	0.34535,0.42671
1	25	93	97	3	3	1379,1575,20654	1379,1575,20654,3177	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1864,1.1550	0.48838,0.48051
1	26	97	101	4	0	11,321,424,579	318,321,424,16545,279	23.735	21.326	21.326	1	24.427	24.373	24.373	0.7979	1.0937,1.2464,1.5105	0.45960,0.43314,0.36811
1	27	98	102	1	1	429	429,279	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
1	28	100	104	2	2	6511,314	6511,314,1478	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1903	0.51076
1	29	103	107	3	3	4725,22218,681	4725,22218,681,864	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1571,1.0835	0.38278,0.36875
1	30	107	111	4	2	369,3069,424,3428	369,3069,1599,579,5055	25.468	18.501	18.501	1	27.230	23.999	23.029	0.2377	1.3824,1.4217,1.6548	0.41972,0.37468,0.31579
1	31	110	114	3	1	1208,73916,21270	1208,9370,9370,424	23.367	21.595	21.595	1	25.144	23.251	23.251	0.4654	1.2300,1.3144	0.48746,0.46213
1	32	112	116	2	1	424,369	424,579,279	28.424	27.816	27.816	1	28.295	23.363	16.412	0.0460	1.1814	0.30839
1	33	114	118	2	1	279,6511	279,5145,13	27.224	26.479	26.479	1	28.317	25.052	25.052	0.1716	1.1556	0.39206
1	34	116	120	2	2	6511,13	6511,13,4213	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0560	0.46606
1	35	119	123	3	1	11,2972,6503	11,66463,6503,60241	19.264	18.580	18.580	1	24.005	19.254	18.483	0.0947	1.0940,1.2589	0.34144,0.47528
1	36	121	125	2	1	557,11543	557,7193,430	24.600	23.125	23.125	1	26.621	24.928	19.955	0.5106	1.3249	0.41903
1	37	123	127	2	0	3518,5995	49875,5617,321	31.241	29.529	29.529	1	29.843	23.254	23.254	0.0127	1.0386	0.48551
1	38	124	128	1	0	303	430,279	24.820	24.322	24.322	1	25.002	24.777	24.777	1.0693		
1	39	125	129	1	1	279	279,6511	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
1	40	127	131	2	2	303,220	303,220,16	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.3549	0.38962
1	41	130	134	3	1	24,15,19	24,16,23,430	32.218	29.976	29.976	1	25.180	20.041	20.041	0.0367	1.3876,1.2273	0.34231,0.19190
1	42	132	136	2	1	18,11	18,430,26170	21.644	20.122	20.113	2	25.995	22.983	22.065	0.3259	1.3424	0.28050
1	43	134	138	2	2	264,28425	264,28425,1881	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2949	0.45512
1	44	137	141	3	0	279,1330,9432	20620,1330,20129,421	25.314	23.414	23.414	1	24.283	21.931	21.931	0.6010	1.3453,1.3723	0.52235,0.42081
1	45	138	142	1	1	321	321,25592	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
1	46	140	144	2	1	11,852	11,279,998	24.599	24.585	23.475	2	22.900	21.894	20.249	0.9840	1.1508	0.39297
1	47	142	146	2	2	1330,7526	1330,7526,9432	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.4751	0.49563
1	48	145	149	3	0	11,864,998	506,864,998,2107	23.863	23.625	23.625	1	24.047	22.561	22.561	0.8927	1.1250,1.3260	0.51214,0.42745
1	49	146	150	1	1	279	279,854	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
1	50	148	152	2	2	11,864	11,864,998	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2655	0.39143
1	51	151	155	1	1	2107	2107,343	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9386	0.62991
1	52	153	157	2	2	6806,364	6806,364,279	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.5829	0.36364
1	53	156	160	3	3	3364,13,271	3364,13,271,6503	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2105,1.1580	0.57235,0.30710
1	54	160	164	4	4	60241,369,7172,303	60241,369,7172,303,279	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.3146,2.0509,1.8223	0.33236,0.41527,0.38698
1	55	165	169	5	3	12982,17828,46483,11,864	12982,17828,46483,318,16757,557	20.442	19.821	19.821	1	27.438	23.020	23.020	0.0879	0.8848,1.4168,1.4703,1.3476	0.63860,0.51176,0.30034,0.32352
1	56	169	173	4	1	6609,8,321,369	6609,681,321,369,2046	22.889	20.921	20.921	1	25.323	24.887	24.887	0.8137	1.1748,1.1947,1.3571	0.51561,0.39161,0.42141
1	57	171	175	2	1	16757,220	16757,39970,17	21.260	19.790	19.671	2	23.425	22.645	21.602	1.0521	1.0331	0.62575
1	58	173	177	2	2	1881,20620	1881,20620,321	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2649	0.35272
1	59	176	180	3	2	25592,13,248046	25592,13,248044,198	21.295	13.731	9.734	18	20.423	20.294	15.714	1.1007	0.9891,1.7794	0.47190,0.32161
1	60	179	183	3	1	248045,846,198	248045,248045,198,248045	20.194	20.045	4.693	393	22.252	16.788	12.826	0.0384	10.0473,12.4166	0.25108,0.10823
1	61	181	185	2	0	846,198	248045,198,248045	18.505	15.625	13.338	3	14.994	13.103	6.000	1.7025	4.6337	0.21160
1	62	182	186	1	0	248046	248045,198	14.497	14.170	14.170	1	16.693	14.498	14.498	0.6321		
1	63	183	187	1	0	248046	248045,198	13.469	13.014	12.245	2	14.795	12.879	12.558	2.0702		
1	64	184	188	1	1	248045	248045,248045	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
1	65	186	190	2	0	198,248045	248045,248045,248045	12.175	11.310	10.892	2	16.217	12.926	12.502	0.6177	1.5174	0.48191
1	66	187	191	1	0	198	248045,248045	12.302	11.297	10.331	3	16.030	13.275	12.774	0.7695		
1	67	188	192	1	0	198	248045,248045	11.997	10.998	9.864	3	16.440	13.270	12.443	0.5284		
1	68	189	193	1	0	198	248045,248045	12.209	10.810	9.783	3	16.690	12.906	12.670	0.4409		
1	69	190	194	1	0	198	248045,248045	12.310	10.955	9.934	3	16.643	12.996	12.712	0.4480		
1	70	191	195	1	0	198	248045,248045	12.435	11.059	9.776	3	16.787	13.520	12.781	0.4605		
1	71	192	196	1	0	198	248045,248045	12.670	11.182	10.022	3	15.740	12.185	12.052	0.7412		
1	72	193	197	1	0	198	248045,248045	12.226	10.905	9.299	3	17.040	13.261	13.261	0.4185		
1	73	194	198	1	0	198	248045,248045	12.374	11.060	9.552	3	16.046	12.565	12.549	0.6644		
1	74	195	199	1	0	198	248045,248045	12.701	11.245	9.425	3	15.842	12.762	12.762	0.8024		
1	75	196	200	1	0	198	248045,248045	12.642	11.272	9.552	3	16.273	12.721	12.721	0.5918		
1	76	197	201	1	0	198	248045,248045	12.931	11.624	9.616	3	16.348	13.056	13.056	0.6406		
1	77	198	202	1	0	198	248045,248045	12.950	11.556	9.634	3	16.824	13.014	13.014	0.4948		
1	78	199	203	1	0	198	248045,248045	13.538	11.923	9.848	3	16.677	13.221	13.089	0.5409		
1	79	200	204	1	0	198	248045,248045	13.379	12.104	9.771	3	17.446	14.513	14.328	0.6159		
1	80	201	205	1	0	198	248045,248045	13.767	12.274	10.153	3	16.224	13.158	13.158	0.7488		
1	81	202	206	1	0	198	248045,248045	13.551	12.035	10.073	3	16.066	13.609	13.609	0.9377		
1	82	203	207	1	0	198	248045,248045	13.603	12.048	9.854	3	16.386	13.297	13.297	0.7112		
1	83	204	208	1	0	198	248045,248045	13.804	12.127	9.822	3	16.990	14.166	14.166	0.6871		
1	84	205	209	1	0	198	248045,248045	13.897	12.290	9.813	4	16.070	13.503	13.503	0.9256		
1	85	206	210	1	0	198	248045,248045	14.110	12.427	9.890	4	16.698	13.693	13.573	0.6953		
1	86	207	211	1	0	198	248045,248045	14.174	12.610	10.172	4	15.774	13.950	13.950	1.1851		
1	87	208	212	1	0	198	248045,248045	14.285	12.383	10.357	3	16.660	14.151	14.151	0.8357		
1	88	209	213	1	0	198	248045,248045	14.206	12.566	10.195	3	16.270	14.224	14.224	1.0192		
1	89	210	214	1	0	198	248045,248045	14.122	12.462	10.375	3	16.271	13.912	13.912	0.9134		
1	90	211	215	1	0	198	248045,248045	13.883	12.244	10.052	3	17.683	14.608	14.605	0.5751		
1	91	212	216	1	0	198	248045,248045	14.118	12.445	10.142	3	15.508	13.756	13.756	1.2946		
1	92	213	217	1	0	198	248045,248045	13.881	12.339	10.239	3	16.188	14.402	14.402	1.0898		
1	93	214	218	1	0	198	248045,248045	13.941	12.265	10.514	3	17.143	14.769	14.769	0.8318		
1	94	215	219	1	0	198	248045,248045	13.267	11.469	10.262	3	16.367	14.038	14.038	0.9335		
1	95	216	220	1	0	198	248045,248045	13.799	12.258	10.498	3	17.545	15.245	15.245	0.7928		
1	96	217	221	1	0	198	248045,248045	13.656	11.944	10.156	3	16.089	13.554	13.554	0.9636		
1	97	218	222	1	0	198	248045,248045	13.604	11.887	10.570	3	15.494	13.713	13.713	1.3256		
1	98	219	223	1	0	198	248045,248045	13.621	12.110	10.954	3	16.958	14.861	14.861	0.8806		
1	99	220	224	1	0	198	248045,248045	14.107	12.436	11.102	3	16.009	14.388	14.388	1.2283		
1	100	221	225	1	0	198	248045,248045	13.774	12.163	11.191	3	18.014	14.946	14.946	0.5420		
1	101	222	226	1	0	198	248045,248045	14.080	12.401	11.290	3	16.612	14.626	14.626	0.9800		
1	102	223	227	1	0	198	248045,248045	13.756	12.280	11.101	3	18.625	15.448	15.448	0.4432		
1	103	224	228	1	0	198	248045,248045	14.180	12.530	11.248	3	16.807	14.812	14.812	0.9429		
1	104	225	229	1	0	198	248045,248045	13.834	12.261	11.593	3	17.241	15.010	15.010	0.8169		
1	105	226	230	1	0	198	248045,248045	13.919	12.442	11.111	3	18.911	14.914	14.838	0.3129		
1	106	227	231	1	0	198	248045,248045	12.917	11.350	10.605	3	16.734	14.794	14.794	0.9974		
1	107	228	232	1	0	198	248045,248045	13.958	12.380	11.544	3	17.557	15.382	15.382	0.8240		
1	108	229	233	1	0	198	248045,248045	14.167	12.473	11.647	3	17.210	14.970	14.970	0.8469		
1	109	230	234	1	0	198	248045,248045	14.007	12.525	11.816	3	17.329	14.660	14.660	0.7211		
1	110	231	235	1	0	198	248045,248045	14.317	12.816	11.318	3	17.638	15.092	15.092	0.7514		
1	111	232	236	1	0	198	248045,248045	14.159	12.833	11.832	3	17.886	15.494	15.494	0.7297		
1	112	233	237	1	0	198	248045,248045	14.100	12.676	11.686	3	18.457	15.494	15.494	0.5071		
1	113	234	238	1	0	198	248045,248045	14.041	12.473	11.035	3	17.452	15.185	15.185	0.8538		
1	114	235	239	1	0	198	248045,248045	14.171	12.810	11.873	3	18.593	15.312	15.312	0.4704		
