HEAD 9e786bf3c04f0e02443df2e6a69feba0b7f99033
99b04881d7350a8571b9b27ec5e15eb97585034e81fbcd06f6d81cbd2678dc37  target/release/qwen4exp_real_gate
/home/ubuntu/realgate/mtp9-owngen-loop.sh: line 17: /home/ubuntu/realgate/mtp9/corpus-ids.tsv: No such file or directory
=== pass 1 (ledger rows before: 0) ===
# qwen4exp_real_gate	label=owngen-p1	binary_sha256=99b04881d7350a8571b9b27ec5e15eb97585034e81fbcd06f6d81cbd2678dc37	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# vram	post-engine	0, 595 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# load	156.1s
# vram	post-load	0, 95283 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 36 (agentic_tools) done — 25s elapsed, generated=1, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 50 (longctx) done — 50s elapsed, generated=2, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 101 (sxc_codex) done — 77s elapsed, generated=3, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 52 (longctx) done — 102s elapsed, generated=4, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 62 (sxc_eigen) done — 123s elapsed, generated=5, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 51 (longctx) done — 148s elapsed, generated=6, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 91 (sxc_hermes) done — 172s elapsed, generated=7, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 95 (sxc_hermes) done — 193s elapsed, generated=8, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 57 (sxc_codex) done — 217s elapsed, generated=9, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 23 (logs) done — 242s elapsed, generated=10, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 17 (json) done — 256s elapsed, generated=11, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 25 (logs) done — 276s elapsed, generated=12, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 7 (refactor) done — 299s elapsed, generated=13, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 67 (sxc_hermes) done — 322s elapsed, generated=14, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 19 (json) done — 348s elapsed, generated=15, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 18 (json) done — 369s elapsed, generated=16, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 3 (code) done — 391s elapsed, generated=17, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 9 (reasoning) done — 408s elapsed, generated=18, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 5 (code) done — 431s elapsed, generated=19, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 10 (reasoning) done — 448s elapsed, generated=20, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 31 (agentic_plan) done — 471s elapsed, generated=21, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 8 (refactor) done — 494s elapsed, generated=22, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 11 (reasoning) done — 511s elapsed, generated=23, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 1 (code) done — 528s elapsed, generated=24, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 44 (effort_low) done — 544s elapsed, generated=25, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 6 (refactor) done — 566s elapsed, generated=26, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 56 (sxc_claude) done — 582s elapsed, generated=27, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 24 (logs) done — 605s elapsed, generated=28, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 59 (sxc_hermes) done — 631s elapsed, generated=29, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 33 (agentic_plan) done — 657s elapsed, generated=30, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen limit 30 reached — rerun the same command to continue
# owngen: SKIPPED 6 prompts over --owngen-max-prompt 400 — a named coverage gap: [(76, 724), (60, 691), (53, 675), (54, 602), (34, 512), (35, 502)]
# qwen4exp_real_gate	label=owngen-p1	binary_sha256=99b04881d7350a8571b9b27ec5e15eb97585034e81fbcd06f6d81cbd2678dc37	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# owngen: own-generated rank corpus, k=5, FULL-VOCAB draft head, greedy=256 sampled=384x2 eos=[248046, 248044]
# provenance: prompts are REAL-SHAPED (goldens continuations + chat-template renders composed on the box); the counted distribution is this artifact's OWN emitted tokens
prompt	class	arm	seed	prompt_tokens	gen_tokens	counted	hit_eos	accept_rate	mean_accept_len	ms_per_token
# vram	after_prompt=1	generated_this_run=24	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
44	effort_low	greedy	-	103	256	256	false	0.619	4.06	10.69
44	effort_low	sampled	0x5eed0000	103	384	384	false	0.553	3.76	12.45
44	effort_low	sampled	0x5eed0001	103	384	384	false	0.553	3.76	12.43
# vram	after_prompt=44	generated_this_run=25	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
6	refactor	greedy	-	102	256	256	false	0.448	3.20	13.52
6	refactor	sampled	0x5eed0000	102	384	384	false	0.273	2.37	19.82
6	refactor	sampled	0x5eed0001	102	384	384	false	0.273	2.37	19.73
# vram	after_prompt=6	generated_this_run=26	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
56	sxc_claude	greedy	-	102	256	220	true	0.414	3.08	13.94
56	sxc_claude	sampled	0x5eed0000	102	384	160	true	0.586	3.92	11.97
56	sxc_claude	sampled	0x5eed0001	102	384	160	true	0.586	3.92	12.01
# vram	after_prompt=56	generated_this_run=27	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
24	logs	greedy	-	101	256	256	false	0.384	2.91	14.88
24	logs	sampled	0x5eed0000	101	384	384	false	0.271	2.36	19.99
24	logs	sampled	0x5eed0001	101	384	384	false	0.271	2.36	19.95
# vram	after_prompt=24	generated_this_run=28	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
59	sxc_hermes	greedy	-	101	256	256	false	0.286	2.44	17.77
59	sxc_hermes	sampled	0x5eed0000	101	384	384	false	0.182	1.91	24.53
59	sxc_hermes	sampled	0x5eed0001	101	384	384	false	0.182	1.91	24.51
# vram	after_prompt=59	generated_this_run=29	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
33	agentic_plan	greedy	-	98	256	256	false	0.324	2.61	16.54
33	agentic_plan	sampled	0x5eed0000	98	384	384	false	0.187	1.94	24.22
33	agentic_plan	sampled	0x5eed0001	98	384	384	false	0.187	1.94	24.17
# vram	after_prompt=33	generated_this_run=30	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# skipped_over_max_prompt=6	max_prompt=400	indices_lens=[(76, 724), (60, 691), (53, 675), (54, 602), (34, 512), (35, 502)]
# corpus	total_counted_tokens=27831	distinct_ids=2513	vocab=248320	seconds=657
# coverage table (share of counted tokens inside the global top-N)
topN	global_coverage	floor_4x_tokens	floor_met	cov_agentic_plan	cov_agentic_tools	cov_code	cov_effort_low	cov_json	cov_logs	cov_longctx	cov_reasoning	cov_refactor	cov_sxc_claude	cov_sxc_codex	cov_sxc_eigen	cov_sxc_hermes
1024	0.87823	4096	true	0.87598	0.83146	0.88542	0.92188	0.94767	0.86706	0.84375	0.93490	0.87402	0.89074	0.79489	0.86230	0.85791
2048	0.97647	8192	true	0.97314	1.00000	0.98177	0.98633	0.99520	0.97454	0.97103	0.98730	0.97298	0.96481	0.95085	0.99512	0.96753
4096	1.00000	16384	true	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
8192	1.00000	32768	false	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
16384	1.00000	65536	false	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
32768	1.00000	131072	false	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
65536	1.00000	262144	false	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
# ranks_sidecar	/home/ubuntu/realgate/mtp9/ranks-owngen.txt

# owngen receipt: /home/ubuntu/realgate/mtp9/corpus/owngen-owngen-p1.tsv
=== pass 1 done (ledger rows after: 90) ===
=== pass 2 (ledger rows before: 90) ===
# qwen4exp_real_gate	label=owngen-p2	binary_sha256=99b04881d7350a8571b9b27ec5e15eb97585034e81fbcd06f6d81cbd2678dc37	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# vram	post-engine	0, 595 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# load	154.1s
# vram	post-load	0, 95283 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen resume: 90 generations already banked in /home/ubuntu/realgate/mtp9/corpus-ids.tsv
# owngen prompt 46 (effort_low) done — 19s elapsed, generated=1, vram 0, 96371 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 0 (code) done — 42s elapsed, generated=2, vram 0, 96371 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 29 (writing) done — 61s elapsed, generated=3, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 65 (sxc_codex) done — 86s elapsed, generated=4, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 30 (agentic_plan) done — 110s elapsed, generated=5, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 70 (sxc_eigen) done — 134s elapsed, generated=6, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 4 (code) done — 153s elapsed, generated=7, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 47 (effort_low) done — 167s elapsed, generated=8, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 22 (shell) done — 188s elapsed, generated=9, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 32 (agentic_plan) done — 216s elapsed, generated=10, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 2 (code) done — 236s elapsed, generated=11, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 14 (chat) done — 259s elapsed, generated=12, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 66 (sxc_eigen) done — 281s elapsed, generated=13, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 26 (translate) done — 300s elapsed, generated=14, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 63 (sxc_hermes) done — 322s elapsed, generated=15, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 73 (sxc_codex) done — 344s elapsed, generated=16, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 90 (sxc_eigen) done — 369s elapsed, generated=17, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 28 (writing) done — 390s elapsed, generated=18, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 20 (shell) done — 413s elapsed, generated=19, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 82 (sxc_eigen) done — 437s elapsed, generated=20, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 100 (sxc_claude) done — 461s elapsed, generated=21, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 45 (effort_low) done — 477s elapsed, generated=22, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 15 (chat) done — 504s elapsed, generated=23, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 16 (chat) done — 528s elapsed, generated=24, vram 0, 96403 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
