# qwen4exp_real_gate	label=owngen-mtp10	binary_sha256=6307988375a174e78f463d2d3b2964b4ee9173bfe2e956813c304ba902c82790	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0 }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# owngen: own-generated rank corpus, k=5, FULL-VOCAB draft head, greedy=256 sampled=512x2 eos=[248046, 248044]
# provenance: prompts are REAL-SHAPED (goldens continuations + chat-template renders composed on the box); the counted distribution is this artifact's OWN emitted tokens
prompt	class	arm	seed	prompt_tokens	gen_tokens	counted	hit_eos	accept_rate	mean_accept_len	ms_per_token
67	sxc_hermes	sampled	0x5eed0001	124	512	512	false	0.269	2.35	21.10
# vram	after_prompt=67	generated_this_run=76	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
217	sxc_codex	greedy	-	124	256	256	false	0.550	3.76	11.93
217	sxc_codex	sampled	0x5eed0000	124	512	512	false	0.229	2.15	23.12
217	sxc_codex	sampled	0x5eed0001	124	512	512	false	0.229	2.15	23.14
# vram	after_prompt=217	generated_this_run=77	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
244	sxc_claude	greedy	-	123	256	256	false	0.380	2.91	15.30
244	sxc_claude	sampled	0x5eed0000	123	512	512	false	0.246	2.24	22.20
244	sxc_claude	sampled	0x5eed0001	123	512	512	false	0.246	2.24	22.15
# vram	after_prompt=244	generated_this_run=78	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
258	sxc_eigen	greedy	-	123	256	256	false	0.462	3.32	13.46
258	sxc_eigen	sampled	0x5eed0000	123	512	512	false	0.359	2.78	17.89
258	sxc_eigen	sampled	0x5eed0001	123	512	512	false	0.359	2.78	17.85
# vram	after_prompt=258	generated_this_run=79	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
19	json	greedy	-	121	256	95	true	0.171	1.86	23.81
19	json	sampled	0x5eed0000	121	512	97	true	0.270	2.35	21.10
19	json	sampled	0x5eed0001	121	512	97	true	0.270	2.35	21.23
# vram	after_prompt=19	generated_this_run=80	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
188	sxc_claude	greedy	-	121	256	256	false	0.315	2.59	17.25
188	sxc_claude	sampled	0x5eed0000	121	512	512	false	0.197	1.98	25.04
188	sxc_claude	sampled	0x5eed0001	121	512	512	false	0.197	1.98	25.03
# vram	after_prompt=188	generated_this_run=81	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
242	sxc_eigen	greedy	-	121	256	256	false	0.410	3.05	14.63
242	sxc_eigen	sampled	0x5eed0000	121	512	512	false	0.262	2.32	21.47
242	sxc_eigen	sampled	0x5eed0001	121	512	512	false	0.262	2.32	21.49
# vram	after_prompt=242	generated_this_run=82	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
162	sxc_eigen	greedy	-	118	256	256	false	0.301	2.49	17.93
162	sxc_eigen	sampled	0x5eed0000	118	512	512	false	0.177	1.89	26.01
162	sxc_eigen	sampled	0x5eed0001	118	512	512	false	0.177	1.89	25.95
# vram	after_prompt=162	generated_this_run=83	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
18	json	greedy	-	117	256	256	false	0.471	3.37	13.28
18	json	sampled	0x5eed0000	117	512	512	false	0.301	2.51	19.73
18	json	sampled	0x5eed0001	117	512	512	false	0.301	2.51	19.77
# vram	after_prompt=18	generated_this_run=84	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
312	sxc_claude	greedy	-	116	256	256	false	0.483	3.41	13.06
312	sxc_claude	sampled	0x5eed0000	116	512	512	false	0.324	2.63	18.94
312	sxc_claude	sampled	0x5eed0001	116	512	512	false	0.324	2.63	18.86
# vram	after_prompt=312	generated_this_run=85	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
3	code	greedy	-	115	256	256	false	0.409	3.01	14.79
3	code	sampled	0x5eed0000	115	512	512	false	0.269	2.35	21.02
3	code	sampled	0x5eed0001	115	512	512	false	0.269	2.35	21.01
# vram	after_prompt=3	generated_this_run=86	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
135	sxc_hermes	greedy	-	115	256	256	false	0.407	3.01	14.75
135	sxc_hermes	sampled	0x5eed0000	115	512	512	false	0.296	2.49	19.92
135	sxc_hermes	sampled	0x5eed0001	115	512	512	false	0.296	2.49	19.94
# vram	after_prompt=135	generated_this_run=87	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
158	sxc_eigen	greedy	-	114	256	256	false	0.281	2.42	18.32
158	sxc_eigen	sampled	0x5eed0000	114	512	512	false	0.201	2.01	24.53
158	sxc_eigen	sampled	0x5eed0001	114	512	512	false	0.201	2.01	24.56
# vram	after_prompt=158	generated_this_run=88	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
211	sxc_hermes	greedy	-	111	256	256	false	0.446	3.24	13.71
211	sxc_hermes	sampled	0x5eed0000	111	512	512	false	0.366	2.83	17.57
211	sxc_hermes	sampled	0x5eed0001	111	512	512	false	0.366	2.83	17.57
# vram	after_prompt=211	generated_this_run=89	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
294	sxc_eigen	greedy	-	111	256	256	false	0.327	2.61	17.04
294	sxc_eigen	sampled	0x5eed0000	111	512	512	false	0.272	2.35	21.04
294	sxc_eigen	sampled	0x5eed0001	111	512	512	false	0.272	2.35	21.08
# vram	after_prompt=294	generated_this_run=90	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
298	sxc_eigen	greedy	-	111	256	256	false	0.360	2.81	15.79
298	sxc_eigen	sampled	0x5eed0000	111	512	512	false	0.311	2.56	19.29
298	sxc_eigen	sampled	0x5eed0001	111	512	512	false	0.311	2.56	19.31
# vram	after_prompt=298	generated_this_run=91	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
9	reasoning	greedy	-	110	256	256	false	0.619	4.06	10.95
9	reasoning	sampled	0x5eed0000	110	512	512	false	0.545	3.71	13.43
9	reasoning	sampled	0x5eed0001	110	512	512	false	0.545	3.71	13.40
# vram	after_prompt=9	generated_this_run=92	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
229	sxc_codex	greedy	-	110	256	256	false	0.400	3.01	14.83
229	sxc_codex	sampled	0x5eed0000	110	512	512	false	0.235	2.17	22.77
229	sxc_codex	sampled	0x5eed0001	110	512	512	false	0.235	2.17	22.90
# vram	after_prompt=229	generated_this_run=93	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
207	sxc_hermes	greedy	-	109	256	256	false	0.475	3.32	13.38
207	sxc_hermes	sampled	0x5eed0000	109	512	512	false	0.323	2.60	19.04
207	sxc_hermes	sampled	0x5eed0001	109	512	512	false	0.323	2.60	19.05
# vram	after_prompt=207	generated_this_run=94	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
295	sxc_hermes	greedy	-	109	256	256	false	0.393	2.98	14.90
295	sxc_hermes	sampled	0x5eed0000	109	512	512	false	0.279	2.39	20.68
295	sxc_hermes	sampled	0x5eed0001	109	512	512	false	0.279	2.39	20.67
# vram	after_prompt=295	generated_this_run=95	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
5	code	greedy	-	108	256	256	false	0.479	3.37	13.20
5	code	sampled	0x5eed0000	108	512	512	false	0.198	1.99	24.89
5	code	sampled	0x5eed0001	108	512	512	false	0.198	1.99	24.86
# vram	after_prompt=5	generated_this_run=96	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
10	reasoning	greedy	-	107	256	256	false	0.649	4.20	10.64
10	reasoning	sampled	0x5eed0000	107	512	512	false	0.407	3.03	16.42
10	reasoning	sampled	0x5eed0001	107	512	512	false	0.407	3.03	16.42
# vram	after_prompt=10	generated_this_run=97	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
31	agentic_plan	greedy	-	106	256	256	false	0.497	3.46	12.88
31	agentic_plan	sampled	0x5eed0000	106	512	512	false	0.229	2.15	23.34
31	agentic_plan	sampled	0x5eed0001	106	512	512	false	0.229	2.15	23.31
# vram	after_prompt=31	generated_this_run=98	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
299	sxc_hermes	greedy	-	106	256	256	false	0.407	3.05	14.59
299	sxc_hermes	sampled	0x5eed0000	106	512	512	false	0.304	2.52	19.58
299	sxc_hermes	sampled	0x5eed0001	106	512	512	false	0.304	2.52	19.64
# vram	after_prompt=299	generated_this_run=99	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
8	refactor	greedy	-	105	256	256	false	0.407	3.05	14.54
8	refactor	sampled	0x5eed0000	105	512	512	false	0.217	2.07	23.91
8	refactor	sampled	0x5eed0001	105	512	512	false	0.217	2.07	23.96
# vram	after_prompt=8	generated_this_run=100	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
236	sxc_claude	greedy	-	105	256	256	false	0.407	3.05	14.55
236	sxc_claude	sampled	0x5eed0000	105	512	512	false	0.292	2.46	20.34
236	sxc_claude	sampled	0x5eed0001	105	512	512	false	0.292	2.46	20.02
# vram	after_prompt=236	generated_this_run=101	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
11	reasoning	greedy	-	104	256	256	false	0.667	4.27	10.44
11	reasoning	sampled	0x5eed0000	104	512	512	false	0.574	3.85	12.88
11	reasoning	sampled	0x5eed0001	104	512	512	false	0.574	3.85	12.88
# vram	after_prompt=11	generated_this_run=102	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
246	sxc_eigen	greedy	-	104	256	256	false	0.524	3.61	12.33
246	sxc_eigen	sampled	0x5eed0000	104	512	512	false	0.326	2.63	18.90
246	sxc_eigen	sampled	0x5eed0001	104	512	512	false	0.326	2.63	18.91
# vram	after_prompt=246	generated_this_run=103	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
254	sxc_eigen	greedy	-	104	256	256	false	0.501	3.51	12.66
254	sxc_eigen	sampled	0x5eed0000	104	512	512	false	0.301	2.51	19.69
254	sxc_eigen	sampled	0x5eed0001	104	512	512	false	0.301	2.51	19.68
# vram	after_prompt=254	generated_this_run=104	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
320	sxc_claude	greedy	-	104	256	256	false	0.419	3.05	14.60
320	sxc_claude	sampled	0x5eed0000	104	512	512	false	0.265	2.33	21.35
320	sxc_claude	sampled	0x5eed0001	104	512	512	false	0.265	2.33	21.26
# vram	after_prompt=320	generated_this_run=105	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
1	code	greedy	-	103	256	256	false	0.573	3.88	11.45
1	code	sampled	0x5eed0000	103	512	512	false	0.416	3.08	15.96
1	code	sampled	0x5eed0001	103	512	512	false	0.416	3.08	16.04
# vram	after_prompt=1	generated_this_run=106	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
44	effort_low	greedy	-	103	256	256	false	0.619	4.06	10.94
44	effort_low	sampled	0x5eed0000	103	512	512	false	0.586	3.91	12.60
44	effort_low	sampled	0x5eed0001	103	512	512	false	0.586	3.91	12.63
# vram	after_prompt=44	generated_this_run=107	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
255	sxc_hermes	greedy	-	103	256	256	false	0.337	2.69	16.48
255	sxc_hermes	sampled	0x5eed0000	103	512	512	false	0.159	1.80	27.44
255	sxc_hermes	sampled	0x5eed0001	103	512	512	false	0.159	1.80	27.40
# vram	after_prompt=255	generated_this_run=108	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
6	refactor	greedy	-	102	256	256	false	0.448	3.20	13.86
6	refactor	sampled	0x5eed0000	102	512	512	false	0.273	2.37	20.84
6	refactor	sampled	0x5eed0001	102	512	512	false	0.273	2.37	20.93
# vram	after_prompt=6	generated_this_run=109	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
56	sxc_claude	greedy	-	102	256	220	true	0.414	3.08	14.29
56	sxc_claude	sampled	0x5eed0000	102	512	160	true	0.611	4.06	12.18
56	sxc_claude	sampled	0x5eed0001	102	512	160	true	0.611	4.06	12.15
# vram	after_prompt=56	generated_this_run=110	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
139	sxc_hermes	greedy	-	102	256	256	false	0.410	3.05	14.53
139	sxc_hermes	sampled	0x5eed0000	102	512	512	false	0.205	2.02	24.46
139	sxc_hermes	sampled	0x5eed0001	102	512	512	false	0.205	2.02	24.54
# vram	after_prompt=139	generated_this_run=111	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
183	sxc_hermes	greedy	-	102	256	256	false	0.357	2.78	15.98
183	sxc_hermes	sampled	0x5eed0000	102	512	512	false	0.229	2.13	23.07
183	sxc_hermes	sampled	0x5eed0001	102	512	512	false	0.229	2.13	23.02
# vram	after_prompt=183	generated_this_run=112	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
24	logs	greedy	-	101	256	256	false	0.384	2.91	15.25
24	logs	sampled	0x5eed0000	101	512	512	false	0.239	2.20	22.62
24	logs	sampled	0x5eed0001	101	512	512	false	0.239	2.20	22.61
# vram	after_prompt=24	generated_this_run=113	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
59	sxc_hermes	greedy	-	101	256	256	false	0.286	2.44	18.14
59	sxc_hermes	sampled	0x5eed0000	101	512	512	false	0.181	1.91	25.86
59	sxc_hermes	sampled	0x5eed0001	101	512	512	false	0.181	1.91	25.83
# vram	after_prompt=59	generated_this_run=114	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
257	sxc_codex	greedy	-	101	256	256	false	0.373	2.88	15.41
257	sxc_codex	sampled	0x5eed0000	101	512	512	false	0.296	2.47	19.93
257	sxc_codex	sampled	0x5eed0001	101	512	512	false	0.296	2.47	19.96
# vram	after_prompt=257	generated_this_run=115	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
296	sxc_claude	greedy	-	101	256	256	false	0.402	3.01	14.72
296	sxc_claude	sampled	0x5eed0000	101	512	512	false	0.274	2.37	20.88
296	sxc_claude	sampled	0x5eed0001	101	512	512	false	0.274	2.37	20.95
# vram	after_prompt=296	generated_this_run=116	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
324	sxc_claude	greedy	-	100	256	256	false	0.380	2.91	15.33
324	sxc_claude	sampled	0x5eed0000	100	512	512	false	0.295	2.47	19.91
324	sxc_claude	sampled	0x5eed0001	100	512	512	false	0.295	2.47	19.93
# vram	after_prompt=324	generated_this_run=117	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
118	sxc_eigen	greedy	-	99	256	256	false	0.326	2.64	16.73
118	sxc_eigen	sampled	0x5eed0000	99	512	309	true	0.237	2.19	22.49
118	sxc_eigen	sampled	0x5eed0001	99	512	309	true	0.237	2.19	22.50
# vram	after_prompt=118	generated_this_run=118	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
33	agentic_plan	greedy	-	98	256	256	false	0.324	2.61	17.02
33	agentic_plan	sampled	0x5eed0000	98	512	512	false	0.190	1.95	25.38
33	agentic_plan	sampled	0x5eed0001	98	512	512	false	0.190	1.95	25.34
# vram	after_prompt=33	generated_this_run=119	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
46	effort_low	greedy	-	96	256	256	false	0.597	3.94	11.24
46	effort_low	sampled	0x5eed0000	96	512	512	false	0.420	3.08	15.95
46	effort_low	sampled	0x5eed0001	96	512	512	false	0.420	3.08	15.97
# vram	after_prompt=46	generated_this_run=120	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
332	sxc_claude	greedy	-	96	256	256	false	0.290	2.46	17.89
332	sxc_claude	sampled	0x5eed0000	96	512	512	false	0.162	1.82	27.15
332	sxc_claude	sampled	0x5eed0001	96	512	512	false	0.162	1.82	27.17
# vram	after_prompt=332	generated_this_run=121	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
0	code	greedy	-	95	256	256	false	0.338	2.67	16.51
0	code	sampled	0x5eed0000	95	512	512	false	0.332	2.65	18.49
0	code	sampled	0x5eed0001	95	512	512	false	0.332	2.65	18.45
# vram	after_prompt=0	generated_this_run=122	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
29	writing	greedy	-	95	256	256	false	0.456	3.28	13.62
29	writing	sampled	0x5eed0000	95	512	328	true	0.377	2.89	17.10
29	writing	sampled	0x5eed0001	95	512	328	true	0.377	2.89	17.06
# vram	after_prompt=29	generated_this_run=123	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
65	sxc_codex	greedy	-	95	256	256	false	0.328	2.64	16.82
65	sxc_codex	sampled	0x5eed0000	95	512	512	false	0.195	1.98	24.94
65	sxc_codex	sampled	0x5eed0001	95	512	512	false	0.195	1.98	24.97
# vram	after_prompt=65	generated_this_run=124	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
205	sxc_codex	greedy	-	95	256	256	false	0.371	2.84	15.50
205	sxc_codex	sampled	0x5eed0000	95	512	512	false	0.246	2.24	22.09
205	sxc_codex	sampled	0x5eed0001	95	512	512	false	0.246	2.24	22.03
# vram	after_prompt=205	generated_this_run=125	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
304	sxc_claude	greedy	-	94	256	256	false	0.497	3.46	12.91
304	sxc_claude	sampled	0x5eed0000	94	512	512	false	0.340	2.69	18.29
304	sxc_claude	sampled	0x5eed0001	94	512	512	false	0.340	2.69	18.34
# vram	after_prompt=304	generated_this_run=126	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
30	agentic_plan	greedy	-	93	256	256	false	0.360	2.81	15.68
30	agentic_plan	sampled	0x5eed0000	93	512	512	false	0.198	1.99	24.71
30	agentic_plan	sampled	0x5eed0001	93	512	512	false	0.198	1.99	24.73
# vram	after_prompt=30	generated_this_run=127	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
70	sxc_eigen	greedy	-	93	256	256	false	0.384	2.88	15.44
70	sxc_eigen	sampled	0x5eed0000	93	512	512	false	0.241	2.21	22.31
70	sxc_eigen	sampled	0x5eed0001	93	512	512	false	0.241	2.21	22.33
# vram	after_prompt=70	generated_this_run=128	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
106	sxc_eigen	greedy	-	93	256	256	false	0.371	2.81	15.70
106	sxc_eigen	sampled	0x5eed0000	93	512	512	false	0.239	2.19	22.49
106	sxc_eigen	sampled	0x5eed0001	93	512	512	false	0.239	2.19	22.46
# vram	after_prompt=106	generated_this_run=129	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
194	sxc_eigen	greedy	-	93	256	256	false	0.369	2.84	15.51
194	sxc_eigen	sampled	0x5eed0000	93	512	512	false	0.301	2.51	19.53
194	sxc_eigen	sampled	0x5eed0001	93	512	512	false	0.301	2.51	19.56
# vram	after_prompt=194	generated_this_run=130	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
248	sxc_claude	greedy	-	93	256	256	false	0.531	3.66	12.08
248	sxc_claude	sampled	0x5eed0000	93	512	512	false	0.271	2.36	21.03
248	sxc_claude	sampled	0x5eed0001	93	512	512	false	0.271	2.36	20.89
# vram	after_prompt=248	generated_this_run=131	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
4	code	greedy	-	92	256	256	false	0.465	3.32	13.33
4	code	sampled	0x5eed0000	92	512	512	false	0.375	2.88	17.19
4	code	sampled	0x5eed0001	92	512	512	false	0.375	2.88	17.18
# vram	after_prompt=4	generated_this_run=132	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
47	effort_low	greedy	-	92	256	256	false	0.800	5.02	8.88
47	effort_low	sampled	0x5eed0000	92	512	512	false	0.721	4.57	10.86
47	effort_low	sampled	0x5eed0001	92	512	512	false	0.721	4.57	10.81
# vram	after_prompt=47	generated_this_run=133	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
137	sxc_codex	greedy	-	92	256	256	false	0.363	2.78	15.90
137	sxc_codex	sampled	0x5eed0000	92	512	512	false	0.224	2.12	23.21
137	sxc_codex	sampled	0x5eed0001	92	512	512	false	0.224	2.12	23.17
# vram	after_prompt=137	generated_this_run=134	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
352	sxc_claude	greedy	-	92	256	256	false	0.462	3.28	13.46
352	sxc_claude	sampled	0x5eed0000	92	512	512	false	0.221	2.11	23.33
352	sxc_claude	sampled	0x5eed0001	92	512	512	false	0.221	2.11	23.37
# vram	after_prompt=352	generated_this_run=135	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
209	sxc_codex	greedy	-	91	256	256	false	0.351	2.75	16.03
209	sxc_codex	sampled	0x5eed0000	91	512	512	false	0.230	2.15	22.94
209	sxc_codex	sampled	0x5eed0001	91	512	512	false	0.230	2.15	22.94
# vram	after_prompt=209	generated_this_run=136	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
252	sxc_claude	greedy	-	91	256	256	false	0.417	3.08	14.31
252	sxc_claude	sampled	0x5eed0000	91	512	512	false	0.197	1.97	24.85
252	sxc_claude	sampled	0x5eed0001	91	512	512	false	0.197	1.97	25.09
# vram	after_prompt=252	generated_this_run=137	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
22	shell	greedy	-	90	256	256	false	0.442	3.16	14.01
22	shell	sampled	0x5eed0000	90	512	512	false	0.301	2.51	19.76
22	shell	sampled	0x5eed0001	90	512	512	false	0.301	2.51	19.66
# vram	after_prompt=22	generated_this_run=138	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
264	sxc_claude	greedy	-	89	256	256	false	0.339	2.69	16.35
264	sxc_claude	sampled	0x5eed0000	89	512	512	false	0.237	2.19	22.57
264	sxc_claude	sampled	0x5eed0001	89	512	512	false	0.237	2.19	22.60
# vram	after_prompt=264	generated_this_run=139	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
32	agentic_plan	greedy	-	88	256	256	false	0.230	2.15	20.47
32	agentic_plan	sampled	0x5eed0000	88	512	512	false	0.158	1.79	27.44
32	agentic_plan	sampled	0x5eed0001	88	512	512	false	0.158	1.79	27.44
# vram	after_prompt=32	generated_this_run=140	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
280	sxc_claude	greedy	-	88	256	256	false	0.371	2.81	15.70
280	sxc_claude	sampled	0x5eed0000	88	512	512	false	0.177	1.89	26.11
280	sxc_claude	sampled	0x5eed0001	88	512	512	false	0.177	1.89	26.05
# vram	after_prompt=280	generated_this_run=141	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
2	code	greedy	-	87	256	256	false	0.438	3.20	13.93
2	code	sampled	0x5eed0000	87	512	512	false	0.371	2.86	17.21
2	code	sampled	0x5eed0001	87	512	512	false	0.371	2.86	17.14
# vram	after_prompt=2	generated_this_run=142	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
14	chat	greedy	-	87	256	256	false	0.315	2.53	17.41
14	chat	sampled	0x5eed0000	87	512	512	false	0.242	2.22	22.32
14	chat	sampled	0x5eed0001	87	512	512	false	0.242	2.22	22.12
# vram	after_prompt=14	generated_this_run=143	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
66	sxc_eigen	greedy	-	87	256	256	false	0.291	2.44	18.05
66	sxc_eigen	sampled	0x5eed0000	87	512	512	false	0.289	2.45	20.18
66	sxc_eigen	sampled	0x5eed0001	87	512	512	false	0.289	2.45	20.11
# vram	after_prompt=66	generated_this_run=144	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
200	sxc_claude	greedy	-	87	256	256	false	0.443	3.20	13.84
200	sxc_claude	sampled	0x5eed0000	87	512	512	false	0.311	2.56	19.16
200	sxc_claude	sampled	0x5eed0001	87	512	512	false	0.311	2.56	19.18
# vram	after_prompt=200	generated_this_run=145	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
272	sxc_claude	greedy	-	87	256	256	false	0.337	2.69	16.53
272	sxc_claude	sampled	0x5eed0000	87	512	512	false	0.195	1.98	24.78
272	sxc_claude	sampled	0x5eed0001	87	512	512	false	0.195	1.98	24.82
# vram	after_prompt=272	generated_this_run=146	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
279	sxc_hermes	greedy	-	87	256	256	false	0.355	2.75	16.21
279	sxc_hermes	sampled	0x5eed0000	87	512	512	false	0.273	2.37	20.84
279	sxc_hermes	sampled	0x5eed0001	87	512	512	false	0.273	2.37	20.83
# vram	after_prompt=279	generated_this_run=147	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
310	sxc_eigen	greedy	-	87	256	256	false	0.331	2.67	16.50
310	sxc_eigen	sampled	0x5eed0000	87	512	227	true	0.381	2.91	16.90
310	sxc_eigen	sampled	0x5eed0001	87	512	227	true	0.381	2.91	16.90
# vram	after_prompt=310	generated_this_run=148	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
315	sxc_hermes	greedy	-	87	256	256	false	0.465	3.32	13.23
315	sxc_hermes	sampled	0x5eed0000	87	512	512	false	0.253	2.27	21.71
315	sxc_hermes	sampled	0x5eed0001	87	512	512	false	0.253	2.27	21.71
# vram	after_prompt=315	generated_this_run=149	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
319	sxc_hermes	greedy	-	87	256	256	false	0.395	2.94	15.08
319	sxc_hermes	sampled	0x5eed0000	87	512	512	false	0.262	2.32	21.16
319	sxc_hermes	sampled	0x5eed0001	87	512	512	false	0.262	2.32	21.18
# vram	after_prompt=319	generated_this_run=150	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
26	translate	greedy	-	86	256	256	false	0.484	3.37	13.14
26	translate	sampled	0x5eed0000	86	512	503	true	0.360	2.80	17.68
26	translate	sampled	0x5eed0001	86	512	503	true	0.360	2.80	17.65
# vram	after_prompt=26	generated_this_run=151	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
63	sxc_hermes	greedy	-	86	256	256	false	0.378	2.88	15.27
63	sxc_hermes	sampled	0x5eed0000	86	512	512	false	0.263	2.32	21.28
63	sxc_hermes	sampled	0x5eed0001	86	512	512	false	0.263	2.32	21.23
# vram	after_prompt=63	generated_this_run=152	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
190	sxc_eigen	greedy	-	86	256	256	false	0.422	3.08	14.29
190	sxc_eigen	sampled	0x5eed0000	86	512	512	false	0.327	2.64	18.60
190	sxc_eigen	sampled	0x5eed0001	86	512	512	false	0.327	2.64	18.71
# vram	after_prompt=190	generated_this_run=153	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
271	sxc_hermes	greedy	-	86	256	256	false	0.422	3.12	14.12
271	sxc_hermes	sampled	0x5eed0000	86	512	512	false	0.262	2.31	21.38
271	sxc_hermes	sampled	0x5eed0001	86	512	512	false	0.262	2.31	21.35
# vram	after_prompt=271	generated_this_run=154	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
