10:00:55 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": null, "wait_p95_s": null}, "requests": {"total": 0, "ok": 0, "err_5xx": 0, "ttfb_p50_s": null, "ttfb_p95_s": null, "lat_p50_s": null, "lat_p95_s": null}}
10:01:06 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 26, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 146, "ok": 98, "err_5xx": 0, "ttfb_p50_s": 2.599073147997842, "ttfb_p95_s": 2.741576915002952, "lat_p50_s": 2.5994626859974233, "lat_p95_s": 2.7421773570022197}}
10:01:07 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 26, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 146, "ok": 98, "err_5xx": 0, "ttfb_p50_s": 2.599073147997842, "ttfb_p95_s": 2.741576915002952, "lat_p50_s": 2.5994626859974233, "lat_p95_s": 2.7421773570022197}}
10:01:08 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 26, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 146, "ok": 98, "err_5xx": 0, "ttfb_p50_s": 2.599073147997842, "ttfb_p95_s": 2.741576915002952, "lat_p50_s": 2.5994626859974233, "lat_p95_s": 2.7421773570022197}}
10:01:09 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 26, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 146, "ok": 98, "err_5xx": 0, "ttfb_p50_s": 2.599073147997842, "ttfb_p95_s": 2.741576915002952, "lat_p50_s": 2.5994626859974233, "lat_p95_s": 2.7421773570022197}}
10:01:10 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 28, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 26, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 24, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 26, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 26, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 26, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 156, "ok": 108, "err_5xx": 0, "ttfb_p50_s": 2.6107671940044384, "ttfb_p95_s": 4.031867470002908, "lat_p50_s": 2.610938357000123, "lat_p95_s": 4.03214421600569}}
10:01:11 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 34, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 194, "ok": 146, "err_5xx": 0, "ttfb_p50_s": 2.6406250020008883, "ttfb_p95_s": 4.235752871994919, "lat_p50_s": 2.640865877001488, "lat_p95_s": 4.23671974199533}}
10:01:12 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 34, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 194, "ok": 146, "err_5xx": 0, "ttfb_p50_s": 2.6406250020008883, "ttfb_p95_s": 4.235752871994919, "lat_p50_s": 2.640865877001488, "lat_p95_s": 4.23671974199533}}
10:01:13 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 34, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 194, "ok": 146, "err_5xx": 0, "ttfb_p50_s": 2.6406250020008883, "ttfb_p95_s": 4.235752871994919, "lat_p50_s": 2.640865877001488, "lat_p95_s": 4.23671974199533}}
10:01:14 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 36, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 32, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 34, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 206, "ok": 158, "err_5xx": 0, "ttfb_p50_s": 2.6457011989987222, "ttfb_p95_s": 4.232762879000802, "lat_p50_s": 2.6460563660002663, "lat_p95_s": 4.233301420004864}}
10:01:15 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 42, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 242, "ok": 194, "err_5xx": 0, "ttfb_p50_s": 2.7695303319997038, "ttfb_p95_s": 4.225797421997413, "lat_p50_s": 2.770024083001772, "lat_p95_s": 4.22671686099784}}
10:01:16 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 42, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 242, "ok": 194, "err_5xx": 0, "ttfb_p50_s": 2.7695303319997038, "ttfb_p95_s": 4.225797421997413, "lat_p50_s": 2.770024083001772, "lat_p95_s": 4.22671686099784}}
10:01:17 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 42, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 242, "ok": 194, "err_5xx": 0, "ttfb_p50_s": 2.7695303319997038, "ttfb_p95_s": 4.225797421997413, "lat_p50_s": 2.770024083001772, "lat_p95_s": 4.22671686099784}}
10:01:18 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 44, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 40, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 48, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 8, "total": 42, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 254, "ok": 206, "err_5xx": 0, "ttfb_p50_s": 3.974278650995984, "ttfb_p95_s": 4.225797421997413, "lat_p50_s": 3.9745795569979236, "lat_p95_s": 4.22671686099784}}
10:01:19 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 50, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 48, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 48, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 48, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 48, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 7, "total": 48, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 290, "ok": 243, "err_5xx": 0, "ttfb_p50_s": 4.022675988002447, "ttfb_p95_s": 4.222524593002163, "lat_p50_s": 4.02370541900018, "lat_p95_s": 4.223058944000513}}
10:01:20 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 8, "total": 50, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 8, "total": 48, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 8, "total": 48, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 8, "total": 48, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 8, "total": 48, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 7, "total": 48, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 290, "ok": 243, "err_5xx": 0, "ttfb_p50_s": 4.022675988002447, "ttfb_p95_s": 4.222524593002163, "lat_p50_s": 4.02370541900018, "lat_p95_s": 4.223058944000513}}
