DAY30 A2 pre-submit steady N=80 median=6.05 min=5.92 max=6.61 boots_on=10 demotes_per_boot=[11] rule N>=80 median<=1.5 max<=3.0 -> FAIL
DAY30 READING pre-submit demote 1 of its boot N=10 median=37.93 min=37.38 max=40.63
DAY30 READING pre-submit demote 2 of its boot N=10 median=42.89 min=42.60 max=44.13
DAY30 READING pre-submit demote 3 of its boot N=10 median=42.27 min=42.00 max=43.79
DAY30 READING helper hashed_in_ms N=110 median=73.1 min=72.9 max=73.5; copy submission-to-completion N=0 median=nan
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o2/b20-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=11 complete after 1 poll(s), 97.4ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o2/b20-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=13 complete after 1 poll(s), 97.5ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o2/b20-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=15 complete after 1 poll(s), 97.0ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o2/b20-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=17 complete after 1 poll(s), 97.5ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o2/b20-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=19 complete after 1 poll(s), 97.0ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o2/b20-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=21 complete after 1 poll(s), 97.6ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o2/b20-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=23 complete after 1 poll(s), 97.2ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/hash-helper-gone-server.log: [prefix-host] demote copy complete off the tick: ticket seq=3 complete after 1 poll(s), 54.7ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/hash-never-lands-server.log: [prefix-host] demote copy complete off the tick: ticket seq=3 complete after 1 poll(s), 54.1ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/postpublish-server.log: [prefix-host] demote copy complete off the tick: ticket seq=5 complete after 1 poll(s), 35.4ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/presubmit-server.log: [prefix-host] demote copy complete off the tick: ticket seq=4 complete after 1 poll(s), 55.5ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-postpublish-server.log: [prefix-host] demote copy complete off the tick: ticket seq=3 complete after 1 poll(s), 54.6ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-postpublish-server.log: [prefix-host] demote copy complete off the tick: ticket seq=6 complete after 1 poll(s), 58.7ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-postpublish-server.log: [prefix-host] demote copy complete off the tick: ticket seq=8 complete after 1 poll(s), 346.3ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-presubmit-server.log: [prefix-host] demote copy complete off the tick: ticket seq=3 complete after 1 poll(s), 53.9ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-presubmit-server.log: [prefix-host] demote copy complete off the tick: ticket seq=5 complete after 1 poll(s), 57.1ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-presubmit-server.log: [prefix-host] demote copy complete off the tick: ticket seq=7 complete after 1 poll(s), 347.7ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-readyview-server.log: [prefix-host] demote copy complete off the tick: ticket seq=3 complete after 1 poll(s), 54.0ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-readyview-server.log: [prefix-host] demote copy complete off the tick: ticket seq=6 complete after 1 poll(s), 57.4ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-readyview-server.log: [prefix-host] demote copy complete off the tick: ticket seq=8 complete after 1 poll(s), 344.6ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-reject-server.log: [prefix-host] demote copy complete off the tick: ticket seq=3 complete after 1 poll(s), 56.2ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-reject-server.log: [prefix-host] demote copy complete off the tick: ticket seq=6 complete after 1 poll(s), 58.3ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/contract-fault/promote-reject-server.log: [prefix-host] demote copy complete off the tick: ticket seq=8 complete after 1 poll(s), 345.4ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/failure-on/digest-server.log: [prefix-host] demote copy complete off the tick: ticket seq=3 complete after 1 poll(s), 54.7ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/failure-on/digest-server.log: [prefix-host] demote copy complete off the tick: ticket seq=6 complete after 1 poll(s), 35.6ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/identity-default-on/host-on-server.log: [prefix-host] demote copy complete off the tick: ticket seq=3 complete after 1 poll(s), 53.4ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/identity-default-on/host-on-server.log: [prefix-host] demote copy complete off the tick: ticket seq=5 complete after 1 poll(s), 329.0ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/identity-plain-on/host-on-server.log: [prefix-host] demote copy complete off the tick: ticket seq=2 complete after 1 poll(s), 38.4ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/gates/identity-plain-on/host-on-server.log: [prefix-host] demote copy complete off the tick: ticket seq=5 complete after 1 poll(s), 134.2ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
DAY30 A3 logs=109 copy_complete_lines=0 receipts_paired=0 receipts_without_copy_line(on-tick)=132 bad=132 rule items==KV+spans, spans=96, KV in [32, 34], receipt items==KV and suffix==spans -> FAIL
DAY30 VERDICT clauses_failed=2 -> FAIL
